,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,dc_mod,g_amplitude,g_base,g_kappa,g_offset,gain_mod
0,TAR010c-22-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,85.0,[0.86617098],[0.00915094],,,,baseline,0.006429309053394538,0.008773599288152176,-0.0006537757859719929,0.0006406954205545057,0.0,0.8540396634406198,-0.20608315751019726,-0.05884652980980184,0.057028640058740324,0.0
1,TAR010c-22-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.5491104333819328,85.0,[0.86617098],[0.00915094],,,,pupil,0.07174494383238524,0.008773575469459585,-0.4435728684181776,-0.059601438726450386,0.024188524917488442,1.1509929063093747,-0.206083245209991,0.4609300431036676,-0.926550144369837,1.031356832773881
2,TAR010c-22-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,0.37246069587634983,85.0,[0.86617098],[0.00915094],,,,ACTIVE_0,-0.038171396307915245,0.008773564010695062,-0.1654561590052085,-0.029590586725803565,0.013126035186238786,0.32670056843351614,-0.2060831571535819,-0.004509146149927284,0.023347335075256062,0.7515421341241129
3,TAR010c-22-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,0.4797142871505232,85.0,[0.86617098],[0.00915094],,,,ACTIVE_1,0.012002377895924713,0.00877363356384973,-0.26427994721438053,-0.1646137262296463,0.018408319756524842,1.2638911460731692,-0.20608314997862925,0.5249999901358446,0.23752285837014703,1.1722251029124207
4,TAR010c-15-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,95.0,[0.52111795],[0.0657104],,,,baseline,0.6034095648856801,0.8589579623532014,0.025696133182626497,-0.02573278772813444,0.0,2.440752796305623,1.9956483468938093,0.5888988427108639,-0.5519450168696124,0.0
5,TAR010c-15-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,-0.5293758050151184,95.0,[0.52111795],[0.0657104],,,,pupil,-3.7751284084233503,0.8589575801289374,0.938117071372211,-3.9319561790627136,-0.06265551162757291,-8.641655786561497,1.9956493788527538,1.7707674595139333,-2.8992550888562256,-1.010041883373126
6,TAR010c-15-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,-0.6623139630307731,95.0,[0.52111795],[0.0657104],,,,ACTIVE_0,-0.12040414699213683,0.8589583662112436,-0.6060806656201363,-0.3810545674203387,-0.06301794670924035,-2.488099676586862,1.9956481095135916,-0.6394890317321222,-0.2451653039752526,-1.110320903349854
7,TAR010c-15-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,-0.34003925819020214,95.0,[0.52111795],[0.0657104],,,,ACTIVE_1,0.008674761777722374,0.858958234327857,-0.4501583552772104,0.10660576919630135,-0.03930762378722467,0.3139791976419468,1.995647897082712,-0.2587244300533273,-0.19715142517041356,-0.5564579864046044
8,TAR010c-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,98.5391,[0.35554625],[0.02648993],,,,baseline,-0.0024297561085225043,-0.005117158999038385,-0.04442046283469021,0.044686456904694964,0.0,1.7369806031165425,1.0610832533023664,0.2901186885340349,-0.288972925846917,0.0
9,TAR010c-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.06257279391047484,98.5391,[0.35554625],[0.02648993],,,,pupil,0.19233732026991718,-0.0051180265995451005,3.480192052835695,0.21180859209691225,0.19532561354777195,-6.028244879144742,1.0610845773225983,1.149328182059214,-2.7928422431368602,-0.7194794845780543
10,TAR010c-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,0.0783248645980916,98.5391,[0.35554625],[0.02648993],,,,ACTIVE_1,0.9412175921755296,-0.005120102694249352,-0.6507175497131322,-0.881125999985362,0.21302208584744234,1.0602124543434748,1.0610841294039788,0.21242897963192875,0.1033668905314793,-0.16632560729777096
11,TAR010c-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_2,0.05844119551100238,98.5391,[0.35554625],[0.02648993],,,,ACTIVE_2,1.028990960472289,-0.005120608683643827,-0.425646116141174,-0.7300018471409138,0.1635928386191015,1.261534359920718,1.0610837907357504,-0.09725616502049182,0.0351173297694818,-0.20366529880565956
12,BRT037b-43-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,85.0,[0.72467393],[0.0169699],,,,baseline,0.5171462212948702,0.7517385647728002,0.018590908353612805,-0.01920316965629358,0.0,1.1643698861697418,0.2232957738337365,0.07876622562475205,-0.07395016669304597,0.0
13,BRT037b-43-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,-0.010583733299022924,85.0,[0.72467393],[0.0169699],,,,pupil,0.2802263154968735,0.7517367136233154,0.6861890778421986,-0.8850635017640098,-0.15660995057179541,0.2349138029351864,0.22329153039948796,0.12766760611199712,-0.7764814868005889,-0.10844178344310136
14,BRT037b-43-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,-0.07598667494424577,85.0,[0.72467393],[0.0169699],,,,ACTIVE_0,-2.213524917052134,0.7517377712292354,0.28501855751316246,0.16018833330764853,-0.8837921027211106,-1.458649145447265,0.22329141710960196,0.34797242029489894,0.22622073030197232,-0.6408000123738853
15,BRT037b-43-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,-0.04755864262465367,85.0,[0.72467393],[0.0169699],,,,ACTIVE_1,-1.176376425730943,0.7517390156131022,0.08002770561189947,0.004487503386984482,-0.35766230875449034,-0.9381908171540129,0.22329088523618443,-0.2512935378469221,-0.22741618376739145,-0.2061910950750575
16,BRT037b-43-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_2,-0.02975553106116525,85.0,[0.72467393],[0.0169699],,,,ACTIVE_2,-0.8152447510962947,0.7517369865790596,-0.08727785288523968,-0.07086722596100878,-0.16447803940616373,-0.4701709903704131,0.22329340178830984,-0.27104148824862173,-0.13463959022537508,-0.07251757590336746
17,BRT037b-33-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,95.0,[0.52288739],[0.02225731],,,,baseline,-0.041077046621426305,-0.061413648434780324,0.012234433444075621,-0.01221183896485973,0.0,0.8972173414168113,-0.15095429987957507,-0.035817396400474294,0.03661474852137557,0.0
18,BRT037b-33-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.13111660862039037,95.0,[0.52288739],[0.02225731],,,,pupil,0.01162431398741805,-0.06141344268886628,0.4763265901874873,-0.021421083488150933,0.09739020367036781,0.12133852289320368,-0.15095417325994626,-0.09000582803932802,-0.13923630893135783,0.22275475777644557
19,BRT037b-33-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,0.41331347872372304,95.0,[0.52288739],[0.02225731],,,,ACTIVE_0,1.052987244981916,-0.06140853500233369,0.027763884221701257,0.15793720954564572,0.3600079959245293,1.2890034076286276,-0.15095449189659615,0.25211234058592613,0.21563748690448184,0.5640774106829609
20,BRT037b-33-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,0.20800225594105906,95.0,[0.52288739],[0.02225731],,,,ACTIVE_1,0.4889669703273748,-0.06140637819573345,-0.0949438892793664,0.0670983608000233,0.14972372655497618,0.9389135342459726,-0.15095484615088672,0.17851923154482105,0.10752823609937112,0.38045092622128956
21,BRT037b-33-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_2,0.14478054593189038,95.0,[0.52288739],[0.02225731],,,,ACTIVE_2,0.33426145482549025,-0.061405860689095745,-0.06329214871216196,6.682969129047523e-05,0.10524219459534527,0.8088511162913943,-0.15095302467066668,0.10222232158647974,0.05078297255160744,0.32425657980427264
22,BRT037b-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,85.0,[0.93781477],[0.00373217],,,,baseline,0.0242070324092396,0.03509775616643602,-0.0024280578383159323,0.0024258546321082614,0.0,1.1019801020567512,0.15951711901306828,0.026980306426511124,-0.031670242844536,0.0
23,BRT037b-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.026634115905642245,85.0,[0.93781477],[0.00373217],,,,pupil,-0.019018821353555242,0.035097518533186225,0.4913920485213306,-0.41818627140527836,0.005701541581820174,0.16556011199331958,0.1595169669056407,1.2981211926599654,-0.8103474672096377,-0.029452346836286995
24,BRT037b-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,-0.1972711530845815,85.0,[0.93781477],[0.00373217],,,,ACTIVE_0,-0.35881595637166525,0.03509802335962227,-0.12477866238715199,-0.11876267664863449,-0.0951818673223081,-1.0684041015554153,0.15951693808501682,0.21506832435655704,-0.05275429548927579,-0.33399217402168113
25,BRT037b-01-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,0.0631244319974348,85.0,[0.93781477],[0.00373217],,,,ACTIVE_1,0.3499640495065023,0.03509812235056166,-0.0822230206058297,-0.02410149848274964,0.11312839481469893,0.03178869574560564,0.15951832518001025,-0.1530284475244728,-0.0526771493767285,0.06113973192284498
26,TAR010c-60-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,84.9781,[0.47241416],[0.02447878],,,,baseline,0.00816825947146484,0.0107189032952209,-0.004184435369702031,0.004200305392312507,0.0,0.8869658301520632,-0.1623512620522858,-0.04264759255510181,0.04226907920994676,0.0
27,TAR010c-60-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.20828033419611172,84.9781,[0.47241416],[0.02447878],,,,pupil,0.18397120734375985,0.010718707992342393,1.3171053594745437,0.18320933956321273,0.14363460286953889,0.655341793649518,-0.16235138035835023,0.10075343558222705,0.3260770537788495,0.5240067987633019
28,TAR010c-60-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,0.1723147941941872,84.9781,[0.47241416],[0.02447878],,,,ACTIVE_0,0.08598153910908421,0.01071857086860915,-0.08768840951831382,-0.07518333984486811,0.12699441048111618,0.8502933976022883,-0.162351077978968,0.14341318819692897,0.08143420507254436,0.5494050611781918
29,TAR010c-60-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,0.2387330998746287,84.9781,[0.47241416],[0.02447878],,,,ACTIVE_1,0.4670987238922164,0.010719245354390236,-0.0054282763382131035,-0.05665032315780001,0.18799171631403006,1.3606876648027675,-0.16235075735193896,0.33774209202667743,0.1830725241490417,0.7309856073753594
30,BRT039c-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,95.0,[0.50053409],[0.02313753],,,,baseline,0.022049364902465663,0.032112369139584804,7.889864437427017e-05,-9.3626173758969e-05,0.0,1.1228237629259226,0.17906561441141391,0.04380751150159665,-0.04444958705472643,0.0
31,BRT039c-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.03946341599487765,95.0,[0.50053409],[0.02313753],,,,pupil,0.15221834892725694,0.03211233968697282,0.1830409677090997,2.2329755749303595,0.014255960640528236,0.7654708237081548,0.17906762987885866,0.23974776697563405,1.8021521156027724,0.03661121275443585
32,BRT039c-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_0,-0.015342947959521194,95.0,[0.50053409],[0.02313753],,,,ACTIVE_0,0.0334683824091311,0.03211019489838905,-0.07032178303833256,-0.04664669068734428,0.019879141952845118,-1.425940231696864,0.17906685035287725,-0.11393545357842241,-0.06702084994837158,-0.3569288507171836
33,BRT039c-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,-0.04608661044361399,95.0,[0.50053409],[0.02313753],,,,ACTIVE_1,-0.033771121645395516,0.032111231654862696,-0.05032906315440997,-0.050652894036404085,-0.013249629321515542,-0.47710614623090786,0.17906609746423874,-0.1596615100441379,-0.08862603937013716,-0.1554752925606081
