cellid,variance,pmax,pnorm_var,var_norm
BRT005c-a1,81.43043606934634,88.94403919569045,0.010293262879036464,0.9155243769645649
BRT006d-a1,1008.0104266801623,133.85858126218517,0.0562564844523768,7.530413195593337
BRT006d-a2,1008.0104266801623,133.85858126218517,0.0562564844523768,7.530413195593337
BRT007c-a1,174.82651327496367,106.70298603538222,0.015355153060607233,1.6384406825971298
BRT007c-a3,69.03756291486883,81.42789179049485,0.01041211773726332,0.8478367964197698
BRT009a-a1,63.39261677975696,93.28389943672924,0.007284928525962303,0.6795665400196275
BRT009c-a1,320.9961965750317,105.35640807690152,0.02891864733268764,3.0467648094146385
BRT009d-a1,124.20943117218108,99.42106076282555,0.012566021195586865,1.2493271568333955
BRT015b-a1,613.0232965300121,147.94026369070963,0.028009425574065758,4.143721805252594
BRT015c-a1,508.80667305346515,179.6851954174061,0.015758983685465335,2.8316560631025536
BRT016f-a1,473.38895705780857,186.10024611576614,0.013668606085143425,2.5437309565046498
BRT017g-a1,566.6802416479964,181.1165877835906,0.017275141580615154,3.128814696559441
BRT017g-a3,172.15701710064957,144.44124840442896,0.008251677810253977,1.1918826443442092
BRT026c-02-1,293.72127584437493,142.69695761519645,0.014424673056552286,2.0583569597639073
BRT026c-02-2,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-05-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-05-2,293.72127584437493,142.69695761519645,0.014424673056552286,2.0583569597639073
BRT026c-07-1,293.72127584437493,142.69695761519645,0.014424673056552286,2.0583569597639073
BRT026c-08-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-11-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-11-2,293.72127584437493,142.69695761519645,0.014424673056552286,2.0583569597639073
BRT026c-12-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-15-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-15-2,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-16-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-17-1,293.72127584437493,142.69695761519645,0.014424673056552286,2.0583569597639073
BRT026c-17-2,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-18-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-19-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-20-1,293.72127584437493,142.69695761519645,0.014424673056552286,2.0583569597639073
BRT026c-20-2,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-25-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-25-2,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-27-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-29-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-31-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-33-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-34-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-41-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT026c-44-1,338.0287567778316,142.69695761519645,0.016600616643162494,2.368857489515483
BRT033b-02-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-03-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-09-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-12-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-12-2,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-13-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-14-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-15-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-33-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-41-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-45-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-47-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-50-1,101.02143607085813,144.99105890242242,0.0048054171577062025,0.6967425221636914
BRT033b-50-2,67.37133961652282,137.9290782790093,0.003541306486878066,0.4884491396385682
BRT033b-55-1,67.37133961652282,137.9290782790093,0.003541306486878066,0.4884491396385682
BRT034f-02-1,665.4157891199379,178.49385280092264,0.020885581614145853,3.7279479302970056
BRT034f-07-1,2355.0206252218677,305.86182101025133,0.025173533235592318,7.69962271670035
BRT034f-33-1,2355.0206252218677,305.86182101025133,0.025173533235592318,7.69962271670035
BRT034f-34-1,2355.0206252218677,305.86182101025133,0.025173533235592318,7.69962271670035
BRT036b-01-1,34.350470008508914,86.1079523150839,0.004632827826765217,0.39892331759109306
BRT036b-06-1,33.35968907464322,86.1079523150839,0.004499201780906037,0.38741705240619756
BRT036b-07-1,33.35968907464322,86.1079523150839,0.004499201780906037,0.38741705240619756
BRT036b-07-2,33.35968907464322,86.1079523150839,0.004499201780906037,0.38741705240619756
