,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,dc_mod,g_amplitude,g_base,g_kappa,g_offset,gain_mod
0,ley046f-38-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,99.4955,[0.40933741],[0.02413963],,,,baseline,0.6607659422598573,0.9409991369655234,0.09916714924155187,-0.09669352971711984,0.0,1.0657080822409277,0.12651111425273726,-0.004476430191102948,-0.007827519032964006,0.0
1,ley046f-38-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,-0.07324006515019359,99.4955,[0.40933741],[0.02413963],,,,pupil,-1.045267394524418,0.9410026808177901,-1.7977085339891155,0.21334787365925786,-0.31215304089117385,5.601913989465603,0.12650935720562734,-1.9598415052839608,-1.2018604148514893,0.16374232759105814
2,ley046f-38-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,-0.11910788260526964,99.4955,[0.40933741],[0.02413963],,,,ACTIVE_1,-2.115363490157451,0.9410025187000916,-0.3944922666079358,0.01820313979410168,-0.4614192898396249,-3.691373759833934,0.1265070848196347,0.15205202511655638,-0.43963010910171574,-0.5269884389167386
3,ley046f-08-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,85.0,[0.74504112],[0.00918079],,,,baseline,0.38327175212025233,0.5570299691310062,0.0037679570753040583,-0.0041748450444711776,0.0,1.231492976027038,0.34391730671961523,0.07642905703995186,-0.07984442353154757,0.0
4,ley046f-08-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,-0.1670858456829839,85.0,[0.74504112],[0.00918079],,,,pupil,-0.6583255856181346,0.5570305270887578,0.8819471718197972,-1.8347004702752059,-0.43333663442181924,-1.7375083656034125,0.34391591865666193,-1.1888216632916255,-1.814130319765015,-0.4220090467651259
5,ley046f-08-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,-0.17121198307453872,85.0,[0.74504112],[0.00918079],,,,ACTIVE_1,-0.5657200014093852,0.5570281361141576,-0.09647361256660178,-0.14687630484762537,-0.33912251999219584,-0.10944855073196039,0.34391535715183064,-0.13795163882847017,-0.05890910505500409,-0.28823640050402904
6,ley046f-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,85.0,[0.47931647],[0.02129265],,,,baseline,0.2167810505998918,0.3071879926088116,0.027119508937288,-0.026770853709431393,0.0,1.1010465860167336,0.1563735889063482,0.027293841350768882,-0.030917225537419456,0.0
7,ley046f-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,pupil,0.04460909940358342,85.0,[0.47931647],[0.02129265],,,,pupil,0.22660094304745138,0.3071904920047666,2.432684718531781,0.3046702763419688,0.04755278795953058,0.6714027128611336,0.15637292110586287,2.6855666881127522,0.08836857853654563,0.3146257015905701
8,ley046f-03-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,ACTIVE_1,0.020002613065333175,85.0,[0.47931647],[0.02129265],,,,ACTIVE_1,-0.6408917186901384,0.30719478569251263,-0.3282644182650256,0.13249896986058077,0.016704230365124927,-1.140987305140262,0.15637022680328252,-0.27858668209415727,-0.19778124547615278,0.16805624426322008
9,ley046g-57-1,psth.fs20.pup-ld-st.pup.afl-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl,baseline,0.0,85.0,[0.3761828],[0.04408473],,,,baseline,0.4802360649445438,0.6997815518218125,0.03597302976085151,-0.03660995145713076,0.0,1.1635753972000802,0.2429998944262421,0.054403779956569365,-0.05683736673487326,0.0
