,Unnamed: 0,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,R2_diff,MIbeh_only,sig_state,sig_any,sig_ubeh,sig_upup,sig_obeh
526,526.0,AMT018a-06-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,96.1306,0.6772165035301881,0.017826741624081873,0.46065153684483,0.91626900516722,0.0,baseline,0.45862219265365334,A1,TBD,DS,TBD,True,AMT,TIN,0.038325074969252027,0.21055757385828455,False,True,False,False,False
156,156.0,AMT018a-06-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,96.1306,0.6483032605844284,0.01580943986054027,0.5357868654058846,1.0015727865197133,0.0,baseline,0.4202971176844013,A1,TBD,DS,TBD,True,AMT,TIN,0.038325074969252027,0.21055757385828455,False,True,False,False,False
763,763.0,AMT018a-07-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.11557304062890394,97.4031,0.2700180273246549,0.04518112774002343,-0.008542240848935585,0.6481936472207662,0.0,active,0.07290973508029809,A1,TBD,DS,TBD,True,AMT,TIN,-0.0101313695187,0.10695814109789525,False,True,False,False,False
155,155.0,AMT018a-07-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.008614899531008684,97.4031,0.2881685350606448,0.05140416211198948,-0.0008971695941772877,-0.04995532675590265,0.0,active,0.08304110459899809,A1,TBD,DS,TBD,True,AMT,TIN,-0.0101313695187,0.10695814109789525,False,True,False,False,False
762,762.0,AMT018a-07-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,97.4031,0.2700180273246549,0.04518112774002343,0.010580776124847164,0.7755601812505538,0.0,baseline,0.07290973508029809,A1,TBD,DS,TBD,True,AMT,TIN,-0.0101313695187,0.10695814109789525,False,True,False,False,False
154,154.0,AMT018a-07-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,97.4031,0.2881685350606448,0.05140416211198948,0.008360082907431149,1.037836980523048,0.0,baseline,0.08304110459899809,A1,TBD,DS,TBD,True,AMT,TIN,-0.0101313695187,0.10695814109789525,False,True,False,False,False
515,515.0,AMT018a-10-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.4894010740051352,85.0,0.3285498823463927,0.047668724923196105,-0.036992960247169096,-1.1126643916196708,0.0,active,0.10794502518982849,A1,TBD,DS,TBD,False,AMT,TIN,0.03001734952476856,-0.49409494589056646,False,True,False,False,False
151,151.0,AMT018a-10-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00469387188543122,85.0,0.279155289516534,0.030756792895243364,0.001463600381975658,0.031079569144031344,0.0,active,0.07792767566505993,A1,TBD,DS,TBD,False,AMT,TIN,0.03001734952476856,-0.49409494589056646,False,True,False,False,False
514,514.0,AMT018a-10-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,85.0,0.3285498823463927,0.047668724923196105,0.05931108551164545,1.384444466517527,0.0,baseline,0.10794502518982849,A1,TBD,DS,TBD,False,AMT,TIN,0.03001734952476856,-0.49409494589056646,False,True,False,False,False
150,150.0,AMT018a-10-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,85.0,0.279155289516534,0.030756792895243364,0.04566126474666712,0.9760843944039312,0.0,baseline,0.07792767566505993,A1,TBD,DS,TBD,False,AMT,TIN,0.03001734952476856,-0.49409494589056646,False,True,False,False,False
