,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt
0,BRT015b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.9721435283256261,0.0018539900228318567,1.7205945826595304,0.995602936416281,0.0,baseline
1,BRT015b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0014339938236832244,95.0,0.9721435283256261,0.0018539900228318567,-0.0010304962043620586,0.006895110118731319,0.0,active
2,bbl043b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.8877766544940418,0.009173016092988961,0.21346997826940842,0.9964956790929678,0.0,baseline
3,bbl043b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0009391605668067291,95.0,0.8877766544940418,0.009173016092988961,0.002766195333892807,0.0038725115826341353,0.0,active
4,ley042i-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.0,0.6669257058773386,0.017894246112941905,1.314135638409495,0.9782393372771928,0.0,baseline
5,ley042i-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00031802946223266144,99.0,0.6669257058773386,0.017894246112941905,-0.01977528750427237,0.047895281807450646,0.0,active
6,bbl053c-a3,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,90.0,0.7731017711436624,0.016465590335536694,0.7036961267642093,0.9946652337785089,0.0,baseline
7,bbl053c-a3,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-7.823356229834201e-05,90.0,0.7731017711436624,0.016465590335536694,-0.01519365608980779,0.006462199039735615,0.0,active
8,bbl039d-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.0,0.8813435594151742,0.0037514429405439346,1.2095633278436313,0.9940566406390076,0.0,baseline
9,bbl039d-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0002548644369390696,99.0,0.8813435594151742,0.0037514429405439346,-0.009669795946784542,0.00731337769950424,0.0,active
10,bbl027i-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.0,0.884252498040429,0.006140713275865118,0.6449332861585362,0.994850857144742,0.0,baseline
11,bbl027i-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0001552159649924418,99.0,0.884252498040429,0.006140713275865118,-0.00018042276276448337,0.008120476794405165,0.0,active
12,bbl025a-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.0,0.7220407642719003,0.013996113036984706,1.2773510915297812,0.9940547863215412,0.0,baseline
13,bbl025a-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00044075970584265195,99.0,0.7220407642719003,0.013996113036984706,0.030965672132580592,0.007188030592572099,0.0,active
14,TTL066e-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,96.5,0.8519343371479844,0.014956650788574624,0.23809736494915068,1.0209441390615914,0.0,baseline
15,TTL066e-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0021224494556285876,96.5,0.8519343371479844,0.014956650788574624,0.002759400582440041,-0.003971270026997246,0.0,active
16,TTL062a-a4,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,96.3,0.42569343398111503,0.01934543687976324,0.12121606506892349,0.9514717477173928,0.0,baseline
17,TTL062a-a4,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.018955782836102105,96.3,0.42569343398111503,0.01934543687976324,0.005291846393939321,0.07863365814705,0.0,active
18,ley049h-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.0,0.9280867144269085,0.0033474653944430208,0.7871206866164664,0.992533633302609,0.0,baseline
19,ley049h-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0002191355407882403,99.0,0.9280867144269085,0.0033474653944430208,-0.008301285064961125,0.01167791000844368,0.0,active
20,ley049h-a2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.0,0.9367129163749356,0.0037173725595493062,0.7671781050499517,0.9956968112762926,0.0,baseline
21,ley049h-a2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00013274842456323534,99.0,0.9367129163749356,0.0037173725595493062,-0.030431508644378474,0.00673901720959235,0.0,active
22,ley046g-39-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.26467148453208905,0.027811976043462094,3.79859131984458,1.018384973513434,0.0,baseline
23,ley046g-39-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.00021355781272380748,95.0,0.26467148453208905,0.027811976043462094,-0.019319358042352366,-0.026644173534362724,0.0,active
24,ley046g-47-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.8038,0.33187677494251705,0.02151635456895637,1.6933268483661208,1.0325113315954173,0.0,baseline
25,ley046g-47-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.001762665193608505,95.8038,0.33187677494251705,0.02151635456895637,-0.0170493001131237,-0.047673755159712554,0.0,active
26,ley046g-30-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.37375435353438813,0.009812738965925641,3.93970539751225,0.9505522280052225,0.0,baseline
27,ley046g-30-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0011847940509628447,95.0,0.37375435353438813,0.009812738965925641,-0.004913539611908445,0.07258626306645971,0.0,active
