,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,g_amplitude,g_base,g_kappa,g_offset
0,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,85.0,[0.37613979],[0.0171012],,,,baseline,0.4540914847782639,0.5085119172022629,0.0336637697660145,-0.03322096525043227,1.4549177642503361,0.01588792696968657,0.004754646413107245,-0.0052875142705177324
1,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.001777077204277626,85.0,[0.37613979],[0.0171012],,,,pupil,-0.12551188203401578,0.5085097396186444,0.0725360448498408,0.37356075528012755,-0.21110300662269407,0.015890612393039658,-0.4970483225516328,-0.7188594087969786
2,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,4.432126365087744e-05,85.0,[0.37613979],[0.0171012],,,,ACTIVE_1,0.05678906899752213,0.5085086722697862,-0.07382904924841767,-0.06480785386739416,0.09406543428627448,0.015892214197407287,-0.013839473485937193,-0.005678993379557096
3,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,-0.0005391793293750041,85.0,[0.37613979],[0.0171012],,,,PASSIVE_1,-0.07519568052628788,0.5085110453264062,-0.06922730229301458,-0.04833290459172999,-0.41588609979089125,0.01589166464522295,-0.04325487504115023,-0.01375735488708465
4,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,0.007883097593157664,85.0,[0.37613979],[0.0171012],,,,PASSIVE_2,0.041449603086634285,0.5085167581183392,-0.05545801299734672,-0.042966998335149054,0.013423105409897074,0.01589065127950677,-0.01755087121708859,-0.009049158528833751
5,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,0.008175983689733221,85.0,[0.37613979],[0.0171012],,,,ACTIVE_2,-0.006460823609627892,0.5085102099821442,-0.08028675629520751,-0.06167096946833585,0.003143757054080072,0.015894716172754838,-0.04161375673790858,-0.013563252278130952
6,ley046g-53-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_3,0.007741156492839359,85.0,[0.37613979],[0.0171012],,,,PASSIVE_3,0.20344122918438523,0.5085069481081781,-0.026172343112269396,-0.03725172951323759,0.25043372037941125,0.01589290391244548,0.005082020899034513,-0.005110383386217217
7,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,99.0,[0.92987061],[0.00343961],,,,baseline,0.20113689385093783,0.14595326378680343,0.005130132926510791,-0.005120487947468203,1.4470039052777,0.005180437687224221,8.070328996078843e-05,-0.0009711739544411912
8,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.005315120418997475,99.0,[0.92987061],[0.00343961],,,,pupil,-0.03670303991776679,0.14595331453144839,-0.011070071909974031,-0.0020199599864516226,0.004103419468220413,0.005180530889921837,-0.010305150225682,-0.002781328521451682
9,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_0,0.0009678993701167836,99.0,[0.92987061],[0.00343961],,,,ACTIVE_0,0.04382410284105946,0.14595325225938371,-0.009633625281519353,-0.010334942055113889,-0.03676944667771017,0.005180526222613684,-0.009510906179052887,-0.001609083244230957
10,ley049h-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,-0.0002282528287025396,99.0,[0.92987061],[0.00343961],,,,ACTIVE_1,0.055158190459136704,0.145953262009383,-0.008903595615525508,-0.010041933910332241,-0.011954700262623833,0.005180540759385933,-0.007840997582773505,-0.0011344285410611564
11,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,85.0,[0.28918124],[0.02160327],,,,baseline,0.3265283737537189,0.3275618371128185,0.010211872458793927,-0.010231284537195523,1.4294038530954531,-0.021508394963493334,-0.00847867237759135,0.008214190260337127
12,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,-0.0012692898855115454,85.0,[0.28918124],[0.02160327],,,,pupil,-0.013691899508211067,0.3275618932187367,-0.027094424574289407,0.0010810539786570757,-0.17152273167238566,-0.021509945451103896,-0.07162385863151582,-0.11127502261832936
13,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,-0.0001945764927776656,85.0,[0.28918124],[0.02160327],,,,ACTIVE_1,0.08516224312149284,0.32756088278310785,-0.043738306497559436,-0.012772166461550435,0.38712347290810484,-0.021508292242874857,0.027987743908137696,0.014879394241641775
14,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,-0.0004984784043122824,85.0,[0.28918124],[0.02160327],,,,PASSIVE_1,-0.0957360728296794,0.3275621250364919,-0.047882158009816295,-0.01595681371672709,-0.3279879709305026,-0.02151020627866452,0.007205982640118615,0.004407357848263906
15,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,-0.004516770383614279,85.0,[0.28918124],[0.02160327],,,,PASSIVE_2,0.06541754779621854,0.327562125082088,-0.032313431245846846,-0.015321108287278099,0.3069770936317391,-0.02150874169764814,0.026936303281812984,0.013687561452018687
16,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,-0.0037996993363926834,85.0,[0.28918124],[0.02160327],,,,ACTIVE_2,0.03058130823444106,0.3275608125434667,-0.047087845758361564,-0.011358021487315505,-0.015706305650374525,-0.021507812919406552,-0.007747131508993993,-0.0019602239638176824
17,ley046g-39-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_3,-0.004710089725610625,85.0,[0.28918124],[0.02160327],,,,PASSIVE_3,0.163316510500068,0.32756181269668977,-0.011654412451359435,-0.014206744249753503,0.18472333668108112,-0.021509313340239495,0.009133404483929356,0.0055011424506638245
18,ley046f-38-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,99.4955,[0.32904681],[0.03290897],,,,baseline,0.41905461009521894,0.46319410926528953,0.009755737147391166,-0.010198687839003056,1.408543842061313,-0.050043193516621384,-0.02062759747921726,0.019515336272632328
19,ley046f-38-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,-0.0001830979624575607,99.4955,[0.32904681],[0.03290897],,,,pupil,0.014480313278607515,0.46318313210234463,0.3518299371751018,0.10716316889436044,0.16813306167741476,-0.05003979003399933,1.522210373963468,0.11985631427723156
20,ley046f-38-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,0.0006185787525209883,99.4955,[0.32904681],[0.03290897],,,,ACTIVE_1,-0.06544809199021571,0.4631990870052167,-0.10896692609094269,-0.0757954672684938,0.09426431028198731,-0.050038749245745494,-0.0925081177078964,-0.042828944034413424
21,ley046f-38-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,0.00030321923951529825,99.4955,[0.32904681],[0.03290897],,,,PASSIVE_1,-0.14441061725655982,0.4631790506804901,-0.08489161262810804,-0.052194658098446214,0.3815106954057816,-0.05004152234584628,-0.05875764464228665,-0.024053806568796198
22,ley046f-30-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,95.0,[0.32457172],[0.02071896],,,,baseline,0.5412234220025738,0.6329514615788524,0.051192601505794876,-0.05049774582582459,1.4132272322825272,-0.044071836931150604,-0.017640145389501174,0.016975816573985267
23,ley046f-30-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,-0.00025003397196947814,95.0,[0.32457172],[0.02071896],,,,pupil,-0.0017859668327306754,0.6329505078820705,-0.04931638987101972,-0.0007364715811426767,-0.043790780156393386,-0.04407541744943764,-0.05243963286267091,-0.05018668679887239
