cellid,BF,SNR
BRT033b-09-1,11594.0,28.82721048356412
BRT033b-12-1,14814.0,14.288035101021803
BRT033b-12-2,11594.0,86.98057557187492
BRT033b-13-1,8461.0,17.9594049786268
BRT033b-14-1,6622.0,22.6322868334595
BRT033b-15-1,12007.0,59.871895606450536
BRT033b-33-1,11196.0,30.273689990982522
BRT033b-41-1,16454.0,8.136020757086351
BRT033b-45-1,10079.0,11.229146608060848
BRT033b-47-1,12007.0,7.984102057842563
BRT033b-50-1,14814.0,15.854679060584395
BRT033b-50-2,18928.0,15.773144099717555
BRT033b-55-1,14304.0,5.7185111447720125
BRT034f-02-1,4056.0,4.475471989271259
BRT034f-07-1,12007.0,12.815815368814118
BRT034f-33-1,16454.0,65.56491001153229
BRT034f-34-1,9733.0,79.36546740181291
BRT036b-01-1,8762.0,6.145527666654629
BRT036b-06-1,1878.0,5.354263681530262
BRT036b-07-1,15888.0,8.08920826575473
BRT036b-07-2,25938.0,4.837129041615356
BRT036b-10-1,17041.0,4.913699147768102
BRT036b-11-1,26862.0,5.59045799589264
BRT036b-12-1,4666.0,5.971418533621353
BRT036b-20-1,1323.0,5.539576529464503
BRT036b-21-1,25045.0,6.500732636518784
BRT036b-25-1,21773.0,9.59293132632032
BRT036b-28-1,1945.0,5.259718969427961
BRT036b-29-1,17648.0,8.36683822534384
BRT036b-31-1,24184.0,6.551220834249366
BRT036b-36-1,8170.0,46.32879567907231
BRT036b-38-1,9733.0,11.92061854720411
BRT036b-40-1,25045.0,4.833008954389759
BRT036b-40-2,9733.0,54.541363540409364
BRT036b-45-1,8461.0,67.40620178511567
BRT036b-46-1,9075.0,48.85835343793664
BRT036b-46-2,8170.0,76.0908431605876
BRT037b-01-1,16454.0,6.620409160947972
BRT037b-03-1,1691.0,6.450474640308351
BRT037b-10-1,2399.0,6.3978584802595595
BRT037b-13-1,30899.0,9.416930912968215
BRT037b-13-2,1691.0,9.478815009707057
BRT037b-15-1,18277.0,8.123421158105248
BRT037b-24-1,12878.0,8.512994739199014
BRT037b-24-2,26862.0,17.116803696978625
BRT037b-28-1,10438.0,6.202981089157445
BRT037b-30-1,15888.0,21.403670598998637
BRT037b-33-1,9075.0,5.79092586493655
BRT037b-36-1,7102.0,60.57382553193652
BRT037b-36-2,14814.0,28.722385966831496
BRT037b-43-1,21773.0,20.69880730694534
BRT037b-48-1,8762.0,75.66916089798272
BRT037b-51-1,12435.0,53.85847541710891
BRT037b-63-1,15888.0,51.704571841730704
BRT039c-03-1,12523.0,36.44615738197667
BRT039c-24-1,8824.0,19.16213210853051
BRT039c-25-1,13909.0,63.393202021547694
BRT039c-40-1,845.0,26.151949276052232
BRT039c-45-1,5598.0,20.315518227567335
TAR010c-01-1,799.0,0.7833542014829291
TAR010c-06-1,1217.0,0.9416228518287193
TAR010c-07-1,986.0,0.9927479641018786
TAR010c-09-1,219.0,1.3105218996120467
TAR010c-12-1,197.0,0.7405288729436994
TAR010c-14-1,2919.0,1.1898588675000985
TAR010c-15-1,177.0,0.908498865000346
TAR010c-15-2,2057.0,0.8182844163210257
TAR010c-18-1,671.0,0.6572824998139482
TAR010c-19-1,441.0,7.806763671000548
TAR010c-19-2,604.0,1.414268031015176
TAR010c-21-1,525.0,1.119835044299644
TAR010c-21-2,952.0,0.7183380152383814
TAR010c-22-1,441.0,2.22041603962214
TAR010c-24-1,252.0,1.2910219977598358
TAR010c-27-1,426.0,5.35412223564147
TAR010c-27-2,457.0,1.398199921911523
TAR010c-30-1,441.0,4.209984252946759
TAR010c-33-1,426.0,7.459057537175537
TAR010c-33-2,1399.0,1.197303597653887
TAR010c-35-1,411.0,4.689226643664831
TAR010c-38-1,648.0,2.0463270894635084
TAR010c-43-1,2538.0,2.8959666200738274
TAR010c-44-1,3023.0,2.2171911150388928
TAR010c-52-1,986.0,4.799335265123247
TAR010c-54-1,280.0,2.5964899278916485
TAR010c-58-1,919.0,1.1919347637210786
TAR010c-60-1,952.0,2.568996470595591
