,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,g_amplitude,g_base,g_kappa
0,BRT033b-09-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,0.0,95.0,[0.7194116],[0.01185471],0.05945761686524179,1.0367013097393691,0.0,baseline,0.4603208317408661,0.7725507488558193,-0.010495476796065505,0.6043798702398486,0.5764924198691217,0.0440078379052735
1,BRT033b-09-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,0.005033917474484525,95.0,[0.7194116],[0.01185471],0.07232340101907285,-0.10434861577993033,0.0,pupil,0.4603208317408661,0.7725507488558193,-0.010495476796065505,0.6043798702398486,0.5764924198691217,0.0440078379052735
2,BRT033b-09-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.001142435333157528,95.0,[0.7194116],[0.01185471],-0.006342917961879005,-0.14117169465810422,0.0,ACTIVE_1,0.4603208317408661,0.7725507488558193,-0.010495476796065505,0.6043798702398486,0.5764924198691217,0.0440078379052735
3,BRT033b-09-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,0.0010124494647000654,95.0,[0.7194116],[0.01185471],0.004108265224940979,0.04876524877433895,0.0,ACTIVE_2,0.4603208317408661,0.7725507488558193,-0.010495476796065505,0.6043798702398486,0.5764924198691217,0.0440078379052735
4,BRT033b-09-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,0.001369619139209311,95.0,[0.7194116],[0.01185471],-0.05978128394270994,0.0007010800782747585,0.0,PASSIVE_1,0.4603208317408661,0.7725507488558193,-0.010495476796065505,0.6043798702398486,0.5764924198691217,0.0440078379052735
5,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,0.0,95.0,[0.52896762],[0.02549462],0.012527967488437361,0.9970824458535226,0.0,baseline,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
6,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.011419587439158187,95.0,[0.52896762],[0.02549462],-0.028125457116094727,0.02084374846349865,0.0,pupil,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
7,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_0,0.0008340148742751092,95.0,[0.52896762],[0.02549462],-0.03787872457615989,0.051170581943022285,0.0,ACTIVE_0,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
8,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.007361683642413157,95.0,[0.52896762],[0.02549462],-0.12425089401754366,-0.17966175462229367,0.0,ACTIVE_1,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
9,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,0.00010651390542808432,95.0,[0.52896762],[0.02549462],-0.2206676496292081,-0.030424399530686118,0.0,PASSIVE_1,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
10,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.009512639589722675,95.0,[0.52896762],[0.02549462],-0.03656467356721253,0.33041806570061316,0.0,ACTIVE_2,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
11,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,0.00035133452179732607,95.0,[0.52896762],[0.02549462],0.0009426799866363864,0.12824459059241275,0.0,PASSIVE_2,0.24555971564166285,0.40036123565481485,-0.032118494839829495,0.6385736856566234,0.5437450290927864,0.03339156421695091
12,TAR010c-19-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,0.0,99.4463,[0.78667261],[0.01159007],0.06312368391701269,1.066311734391963,0.0,baseline,0.04276909141966022,-0.014380345854375184,-0.08092023177969149,0.5598325617334894,0.548199350772655,0.3194389767810962
13,TAR010c-19-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,0.0029522115012488993,99.4463,[0.78667261],[0.01159007],-1.0192301565153807,0.11575349370406504,0.0,pupil,0.04276909141966022,-0.014380345854375184,-0.08092023177969149,0.5598325617334894,0.548199350772655,0.3194389767810962
14,TAR010c-19-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.0003551080348289645,99.4463,[0.78667261],[0.01159007],-0.194558049937546,0.05089042016622253,0.0,ACTIVE_1,0.04276909141966022,-0.014380345854375184,-0.08092023177969149,0.5598325617334894,0.548199350772655,0.3194389767810962
15,TAR010c-19-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.0012412944503001843,99.4463,[0.78667261],[0.01159007],0.3838402004573215,3.163699611930069,0.0,PASSIVE_1,0.04276909141966022,-0.014380345854375184,-0.08092023177969149,0.5598325617334894,0.548199350772655,0.3194389767810962
16,TAR010c-19-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.001589970277563621,99.4463,[0.78667261],[0.01159007],0.48214416392293014,0.07488766293661633,0.0,ACTIVE_2,0.04276909141966022,-0.014380345854375184,-0.08092023177969149,0.5598325617334894,0.548199350772655,0.3194389767810962
17,TAR010c-19-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,0.0016368432281216108,99.4463,[0.78667261],[0.01159007],0.46516248776888336,1.5537777745523786,0.0,PASSIVE_2,0.04276909141966022,-0.014380345854375184,-0.08092023177969149,0.5598325617334894,0.548199350772655,0.3194389767810962
18,BRT037b-24-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,0.0,85.0,[0.22110874],[0.02290509],5.1654518012652835,0.4974570022425041,0.0,baseline,0.11138926091620047,0.8081828996641465,2.243979488776824,0.4312202041348739,0.7759607044090095,0.7192628609328391
19,BRT037b-24-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,0.011933240572800612,85.0,[0.22110874],[0.02290509],-1.2841488491986612,-0.9767240348700159,0.0,pupil,0.11138926091620047,0.8081828996641465,2.243979488776824,0.4312202041348739,0.7759607044090095,0.7192628609328391
20,BRT037b-24-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_0,0.0014020751883725246,85.0,[0.22110874],[0.02290509],-3.773914348839063,-6.322023166900616,0.0,ACTIVE_0,0.11138926091620047,0.8081828996641465,2.243979488776824,0.4312202041348739,0.7759607044090095,0.7192628609328391
21,BRT037b-24-2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.0006400897430662516,85.0,[0.22110874],[0.02290509],8.737462102456213,2.2152161894502562,0.0,ACTIVE_1,0.11138926091620047,0.8081828996641465,2.243979488776824,0.4312202041348739,0.7759607044090095,0.7192628609328391
