,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,dc_mod,g_amplitude,g_base,g_kappa,g_offset,gain_mod
0,ley046g-23-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,95.0,[0.77564509],[0.01510413],,,,baseline,0.4455818735563951,0.6428488804293802,0.04109789331384946,-0.04119372942974457,0.0,1.1094541583890325,0.16447849846502194,0.03525954112939602,-0.037173883711104014,0.0
1,ley046g-23-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,pupil,0.017638317662524893,95.0,[0.77564509],[0.01510413],,,,pupil,1.1085357095079456,0.6428484281805398,2.5119106824626685,0.4134649511738221,0.06363620450501223,0.19516089649194912,0.164477565040419,2.8238590914415633,0.4550656568211612,-0.021048965142336118
2,ley046g-23-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1,-0.02479967106503048,95.0,[0.77564509],[0.01510413],,,,ACTIVE_1,2.321238478301418,0.6428522068972421,0.00750168567161278,-0.07431876728922725,-0.17248229448831925,0.5002040954900095,0.16447672687353382,-1.8232050058542648,-0.3577755730513898,-0.07440628415156834
3,ley046g-23-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_2,-0.0581181959437394,95.0,[0.77564509],[0.01510413],,,,ACTIVE_2,-1.6703576737152936,0.6428517958390827,0.10243491954171598,0.1214370990106292,-0.35813806386166064,-1.3003756708142835,0.1644796296810167,-0.48253547610180975,-0.30716861665978223,-0.09835551496017253
4,ley046g-23-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1Xpup,-0.027779886256540973,95.0,[0.77564509],[0.01510413],,,,ACTIVE_1Xpup,-3.372207401374818,0.6428488969463343,1.0253537352637943,0.03174159487294296,-0.19395046342580755,-1.2748995703964583,0.1644787364034694,-0.5288084811005682,0.0699549322783106,-0.07682970587774446
5,ley046g-23-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_2Xpup,-0.0581181959437394,95.0,[0.77564509],[0.01510413],,,,ACTIVE_2Xpup,-0.898036454336068,0.6428505759108912,2.842532540157101,0.3137370051619302,-0.35813806386166064,0.0889875278936778,0.1644796430432769,0.22646791030991223,-0.5254548196408357,-0.09835551496017253
6,ley046f-22-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,95.0,[0.39906218],[0.03341021],,,,baseline,0.626979102169524,0.9357257158575323,0.06302186341044592,-0.06495729157490399,0.0,1.1478403993280577,0.2339049080682179,0.03834297338716427,-0.046370240052744933,0.0
7,ley046f-22-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,pupil,-0.1116377072708236,95.0,[0.39906218],[0.03341021],,,,pupil,-4.119801319136643,0.9357459737669114,7.390727425933447,-5.501664855903709,-0.24902761047820693,8.933510111586568,0.23390691493161947,4.147891766097336,0.65752744378588,-0.14814265603330687
8,ley046f-22-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1,-0.06173896141319839,95.0,[0.39906218],[0.03341021],,,,ACTIVE_1,0.833699025748245,0.935752910932796,-1.8647756004389535,-0.5218712733409389,-0.15531390633650446,-1.6180653069871074,0.23389155332175618,-1.6790564069972522,-0.8879106802332505,-0.5246038078809485
9,ley046f-22-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1Xpup,-0.06237537676933273,95.0,[0.39906218],[0.03341021],,,,ACTIVE_1Xpup,-2.0489250005152035,0.9357463707049716,-0.8589449336076566,1.1148589732682734,-0.15795983627581828,-9.761913421782161,0.23390443684113524,4.159991239988793,0.7494043228898841,-0.5297623233713303
10,BRT009c-a1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,95.0,[0.89007456],[0.00752178],,,,baseline,0.026097022387396168,0.03899684039299758,-0.004636600275240578,0.004620726392997818,0.0,1.0605185004439572,0.0880313824526028,0.021912680325667316,-0.022183778264748943,0.0
