,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,g_amplitude,g_base,g_kappa,g_offset
13,TAR010c-58-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,-0.0007215144038253056,95.0,[0.4819238],[0.01670766],,,,ACTIVE_2,0.02094723109288533,0.028725316002342037,-0.007127636827248962,-0.004036136232203072,0.07617232642316075,-0.005071731668993217,-0.0016242046111312474,-0.00039420555486662184
14,TAR010c-58-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,-0.0009729666429463542,95.0,[0.4819238],[0.01670766],,,,PASSIVE_2,0.04588365724616688,0.028725331372278607,-0.005245592934224119,-0.003349974760684675,0.16787240661014047,-0.0050716196074886925,0.0063648804036833245,0.0031814517635523503
15,TAR010c-35-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,85.0,[0.8902311],[0.00700789],,,,baseline,0.197294020000717,0.1404667787984555,0.004517384065867992,-0.00451193249919363,1.451429097817202,0.010498802203052163,0.0031944194416483225,-0.0035322220411228
16,TAR010c-35-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.007503885225669614,85.0,[0.8902311],[0.00700789],,,,pupil,0.018718569995041005,0.14046680846462328,-0.006301155643538501,0.004925397540136045,-0.029356205757652187,0.010498730988020382,-0.010883441088395812,0.00894641151114222
17,TAR010c-35-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_0,0.0015245992022795783,85.0,[0.8902311],[0.00700789],,,,ACTIVE_0,0.08543420434967673,0.14046673387765551,-0.007638905015669264,-0.00887468494248875,-0.027899463591461816,0.010498624487931199,-0.0103880466153496,-0.004793123716620946
18,TAR010c-35-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,-3.5499698956740115e-05,85.0,[0.8902311],[0.00700789],,,,ACTIVE_1,-0.02375949947720426,0.14046678639944676,-0.012686098369362178,-0.010698956710164876,0.023888250662313076,0.01049865873951716,-0.009483870176193648,-0.004412575461704618
19,TAR010c-35-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,-0.0005610444269645523,85.0,[0.8902311],[0.00700789],,,,PASSIVE_1,0.0008461524018741857,0.14046687674339375,-0.011029807155663967,-0.009971362992514485,-0.1130986799788555,0.01049865456500389,-0.00964581243717172,-0.004310345386406881
20,TAR010c-27-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,99.7571,[0.82605956],[0.00859535],,,,baseline,0.13745599934812874,0.054102290826177804,0.0016008190427761054,-0.0016000839609892751,1.4425435538087403,-0.003846203918760826,-0.000594513426096742,0.000983095472048326
21,TAR010c-27-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.0022092087676165487,99.7571,[0.82605956],[0.00859535],,,,pupil,0.02131692390569135,0.0541021099631949,-0.005138068259471441,0.0031402794464459307,-0.03832550006952758,-0.0038462723402755096,-0.016394713071200412,0.011450340615190107
22,TAR010c-27-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,0.001294375609236846,99.7571,[0.82605956],[0.00859535],,,,ACTIVE_1,-0.03306323955893511,0.054102304945315906,-0.007600400563605905,-0.00430660548434033,0.05182915519414386,-0.0038462337469380692,-0.005691231040807731,0.000558272304798954
23,TAR010c-27-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,0.0003720135212804847,99.7571,[0.82605956],[0.00859535],,,,PASSIVE_1,0.06385154179380556,0.054102326231816135,-0.00430821450768073,-0.003858829231255369,0.020587148764336555,-0.003846198975552184,-0.004983060105974565,-0.00040593738328302455
24,TAR010c-27-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,-0.0008120554917112964,99.7571,[0.82605956],[0.00859535],,,,ACTIVE_2,0.028610840286653803,0.05410216939776341,-0.006365583000375559,-0.00366342503314548,-0.008134188236555706,-0.0038463009078597787,-0.008041185549093745,0.0013347696890886232
25,TAR010c-27-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,-0.000744338324064085,99.7571,[0.82605956],[0.00859535],,,,PASSIVE_2,0.024694730710245784,0.05410221889960393,-0.0061495874322923935,-0.004651027608229393,0.026804537304610437,-0.003846273930763361,-0.005207987670451735,-0.0002044876021716587
26,TAR010c-01-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,98.5391,[0.23957362],[0.02179532],,,,baseline,0.21762118453629037,0.1697574356334707,0.007849496767295806,-0.007838607929735696,1.5016217506951801,0.08360313270217497,0.029421332681436402,-0.030076168453773387
27,TAR010c-01-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.0017698820224150635,98.5391,[0.23957362],[0.02179532],,,,pupil,-0.03864128194040707,0.1697584286759573,-0.0634305644850804,-0.15993630450107582,-0.28121447731079263,0.08360310475035307,-0.045274785553774254,-0.2751913040345656
28,TAR010c-01-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,0.00024272671098910943,98.5391,[0.23957362],[0.02179532],,,,ACTIVE_1,0.011070901060887222,0.16975829009988902,-0.028248750670857192,-0.0075676286491702825,-0.01845006662653168,0.08360472064757375,-0.012937016237613813,-0.007045392593979805
29,TAR010c-01-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,0.0016585867091816016,98.5391,[0.23957362],[0.02179532],,,,PASSIVE_1,-0.0019975451167956147,0.16975958231600233,-0.0393979298501353,-0.0010035847352500924,-0.36923978557419124,0.08360395579672386,0.008309324021179797,0.0035370071981138257
30,TAR010c-01-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,-0.0007777189272977989,98.5391,[0.23957362],[0.02179532],,,,ACTIVE_2,-0.01014558725655344,0.1697591532389859,-0.03408147737214322,-0.005414270479755288,-0.14313869056053,0.08360401857240679,-0.0331310348757347,-0.014292111618108175
31,TAR010c-01-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,-0.0003714479378911334,98.5391,[0.23957362],[0.02179532],,,,PASSIVE_2,0.11404347705098143,0.16975831082198042,-0.01354018938707965,-0.0020699346187723457,-0.5174685706435335,0.08360497166241607,0.020165197161390445,0.009103425096908108
32,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,99.117,[0.95121708],[0.00265056],,,,baseline,0.13008255513270384,0.043481647911786395,0.0011249329102523517,-0.001125772784552601,1.4444219317166294,-0.00013365330844371763,-0.00021333046877321254,0.00013294203097586975
33,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,-0.018028916665659245,99.117,[0.95121708],[0.00265056],,,,pupil,-0.010529783422438382,0.04348167681731353,-0.0076796590874186445,-0.0004726083606306244,0.003603870789820844,-0.0001335349358482874,-0.01241907945560374,-0.009102166155916717
34,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,0.005192348295139395,99.117,[0.95121708],[0.00265056],,,,ACTIVE_1,0.003408105586866136,0.04348173980026388,-0.007637466892166045,-0.0041674697906464294,-0.0046665376701369495,-0.00013349149325852882,-0.014504010461728495,0.0019068582403081453
35,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,0.01130079832920214,99.117,[0.95121708],[0.00265056],,,,PASSIVE_1,-0.033853944801519036,0.0434817765572476,-0.006810802633344798,-0.004128316232107603,0.033431303077076945,-0.00013356038215399916,-0.005070138445074786,-0.0012816451451320846
36,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,0.009033246643821328,99.117,[0.95121708],[0.00265056],,,,ACTIVE_2,-0.018591107609958097,0.043481648601740364,-0.007649845252868837,-0.004150540674654381,-0.0034221687881636417,-0.00013355225610335312,-0.011151520331018563,0.0021720635862726603
37,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,0.011603450015612558,99.117,[0.95121708],[0.00265056],,,,PASSIVE_2,0.04342353365461588,0.04348166553039816,-0.005166275449156869,-0.003468985401500197,-0.060921972209968166,-0.00013357498201238226,-0.007953084857697188,-0.0015462347248995762
38,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_3,0.005906874467166749,99.117,[0.95121708],[0.00265056],,,,PASSIVE_3,0.024223425168303035,0.04348166676300892,-0.005631941613583185,-0.003734657523945873,0.012614257916051369,-0.00013358316902115807,-0.005646985261986816,-0.0012125613530578321
39,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_3,-0.012018274067112986,99.117,[0.95121708],[0.00265056],,,,ACTIVE_3,-0.03646326907980094,0.04348165741715797,-0.007436171530721963,-0.004073627244411625,0.034310018758733574,-0.00013349503819939685,-0.007271178599663186,0.0014776417205494175
40,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_4,0.010433324752119194,99.117,[0.95121708],[0.00265056],,,,PASSIVE_4,0.00012392353003977757,0.043481634171923036,-0.006386151761470581,-0.003968303055498538,-0.013013358894528815,-0.00013351688970954142,-0.0067159948230457135,-0.0016358965077814254
41,TAR010c-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,84.9781,[0.38550107],[0.01892442],,,,baseline,0.13590044202573576,0.052107408718422996,0.0004207872229410402,-0.00043468915494482817,1.4434281727996687,-0.001144951146373719,-0.0010831730884211465,0.0007617152731723141
42,TAR010c-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.008902785520966527,84.9781,[0.38550107],[0.01892442],,,,pupil,-0.019584449028747522,0.052107640130960885,-0.0017156076568463567,-0.0011018964353284228,-0.21046836500404265,-0.0011447545383050956,-0.027503547216124996,-0.009438115701842265
43,TAR010c-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_0,-0.001319079077913695,84.9781,[0.38550107],[0.01892442],,,,ACTIVE_0,0.000927355304602249,0.05210719533370557,-0.009258674022525457,-0.01837936599389616,-0.1591467445658261,-0.0011449249895405188,-0.005331267135888959,-0.0018561348334383645
44,TAR010c-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,2.502826381040067e-05,84.9781,[0.38550107],[0.01892442],,,,ACTIVE_1,0.04519348404262029,0.05210700278747601,-0.006851750615441225,-0.01314095694703917,0.4112101948826631,-0.0011444990780194234,0.04132353802680728,0.018957491204819737
