,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,bestsnr,bestbf,PASSIVE_0_snr,PASSIVE_0_bf,PASSIVE_0,ACTIVE_1_snr,ACTIVE_1_bf,ACTIVE_1,ACTIVE_1_tf,ACTIVE_1_tardist,PASSIVE_1_snr,PASSIVE_1_bf,PASSIVE_1,ACTIVE_2_snr,ACTIVE_2_bf,ACTIVE_2,ACTIVE_2_tf,ACTIVE_2_tardist,ACTIVE_3_snr,ACTIVE_3_bf,ACTIVE_3,ACTIVE_3_tf,ACTIVE_3_tardist,ACTIVE_0_snr,ACTIVE_0_bf,ACTIVE_0,ACTIVE_0_tf,ACTIVE_0_tardist,PASSIVE_2_snr,PASSIVE_2_bf,PASSIVE_2,PASSIVE_3_snr,PASSIVE_3_bf,PASSIVE_3,ACTIVE_4_snr,ACTIVE_4_bf,ACTIVE_4,ACTIVE_4_tf,ACTIVE_4_tardist,PASSIVE_4_snr,PASSIVE_4_bf,PASSIVE_4,R2_diff,R2beh_unique,R2pup_unique,MIbeh_only,MIbeh_unique,MIpup_unique,sig_ubeh,sig_upup,sig_state,sig_obeh,sig_any
1560,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.28227809598042325,0.03520788089793473,-0.0035996718727506274,1.0198089775908374,0.0,baseline,0.07968092347033304,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1561,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.010080238221583493,95.0,0.28227809598042325,0.03520788089793473,0.004765010857934453,0.044976252468560116,0.0,pupil,0.07968092347033304,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1562,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.002390990427966656,95.0,0.28227809598042325,0.03520788089793473,0.0012021537635119636,0.36440404270195415,0.0,active,0.07968092347033304,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1563,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,baseline,,95.0,0.3283316771319481,0.0471984067324474,-0.06804427063347733,1.2522230291038758,0.0,baseline,0.10780169020827782,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1564,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,pupil,-0.34931378039701244,95.0,0.3283316771319481,0.0471984067324474,0.061544564379414884,-0.03584647699634347,0.0,pupil,0.10780169020827782,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1565,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,active,-0.5078456155022187,95.0,0.3283316771319481,0.0471984067324474,-1.0371843898139224,-5.08312671041554,0.0,active,0.10780169020827782,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1566,BRT026c-29-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,baseline,,95.0,0.3997676159561268,0.055303087500810505,-2.790748131929707,-0.8788238189882984,0.0,baseline,0.15981414676724529,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1567,BRT026c-29-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,pupil,-0.4589562288381387,95.0,0.3997676159561268,0.055303087500810505,-1.4350312530746718,-4.427680917979899,0.0,pupil,0.15981414676724529,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1568,BRT026c-29-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,active,-0.5354045197128021,95.0,0.3997676159561268,0.055303087500810505,-1.19445568913569,-1.2674250067078845,0.0,active,0.15981414676724529,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
1569,BRT026c-29-1,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,baseline,,95.0,0.404908373128801,0.05749896742747874,-177.55402902636203,-134.61245714241798,0.0,baseline,0.16395079062981235,A1,TBD,DS,True,True,BRT,TIN,0.18497,14304.0,0.18497,14304.0,BRT026c09_p_PTD.m,0.0,0.0,BRT026c11_a_PTD.m,14000.0,0.030992000000000002,,,,0.0,0.0,BRT026c12_a_PTD.m,14000.0,0.030992000000000002,,,,,,0.0,0.0,BRT026c08_a_PTD.m,14000.0,0.030992000000000002,,,,,,,,,,,,,,,0.08426986715947932,0.004136643862567069,0.05614910042153454,-0.5102366059301854,-0.003984438648972466,-0.11912832874295837,False,False,True,False,True
