,cellid,state_chan_alt,tar_freq
0,bbl102d-01-1,ACTIVE_1,1000.0
0,bbl102d-01-1,ACTIVE_2,1000.0
0,bbl102d-13-1,ACTIVE_1,1000.0
0,bbl102d-13-1,ACTIVE_2,1000.0
0,bbl102d-24-1,ACTIVE_1,1000.0
0,bbl102d-24-1,ACTIVE_2,1000.0
0,bbl102d-27-1,ACTIVE_1,1000.0
0,bbl102d-27-1,ACTIVE_2,1000.0
0,bbl102d-29-1,ACTIVE_1,1000.0
0,bbl102d-29-1,ACTIVE_2,1000.0
0,bbl102d-31-1,ACTIVE_1,1000.0
0,bbl102d-31-1,ACTIVE_2,1000.0
0,bbl102d-32-1,ACTIVE_1,1000.0
0,bbl102d-32-1,ACTIVE_2,1000.0
0,bbl102d-33-1,ACTIVE_1,1000.0
0,bbl102d-33-1,ACTIVE_2,1000.0
0,bbl102d-36-1,ACTIVE_1,1000.0
0,bbl102d-36-1,ACTIVE_2,1000.0
0,bbl102d-40-1,ACTIVE_1,1000.0
0,bbl102d-40-1,ACTIVE_2,1000.0
0,bbl102d-52-1,ACTIVE_1,1000.0
0,bbl102d-52-1,ACTIVE_2,1000.0
0,bbl102d-52-2,ACTIVE_1,1000.0
0,bbl102d-52-2,ACTIVE_2,1000.0
0,bbl102d-60-1,ACTIVE_1,1000.0
0,bbl102d-60-1,ACTIVE_2,1000.0
0,BRT026c-02-1,ACTIVE_1,14000.0
0,BRT026c-02-1,ACTIVE_2,14000.0
0,BRT026c-02-1,ACTIVE_3,14000.0
0,BRT026c-02-2,ACTIVE_0,14000.0
0,BRT026c-02-2,ACTIVE_1,14000.0
0,BRT026c-02-2,ACTIVE_2,14000.0
0,BRT026c-05-1,ACTIVE_0,14000.0
0,BRT026c-05-1,ACTIVE_1,14000.0
0,BRT026c-05-1,ACTIVE_2,14000.0
0,BRT026c-05-2,ACTIVE_1,14000.0
0,BRT026c-05-2,ACTIVE_2,14000.0
0,BRT026c-05-2,ACTIVE_3,14000.0
0,BRT026c-07-1,ACTIVE_1,14000.0
0,BRT026c-07-1,ACTIVE_2,14000.0
0,BRT026c-07-1,ACTIVE_3,14000.0
0,BRT026c-08-1,ACTIVE_0,14000.0
0,BRT026c-08-1,ACTIVE_1,14000.0
0,BRT026c-08-1,ACTIVE_2,14000.0
0,BRT026c-11-1,ACTIVE_0,14000.0
0,BRT026c-11-1,ACTIVE_1,14000.0
0,BRT026c-11-1,ACTIVE_2,14000.0
0,BRT026c-11-2,ACTIVE_1,14000.0
0,BRT026c-11-2,ACTIVE_2,14000.0
0,BRT026c-11-2,ACTIVE_3,14000.0
0,BRT026c-12-1,ACTIVE_0,14000.0
0,BRT026c-12-1,ACTIVE_1,14000.0
0,BRT026c-12-1,ACTIVE_2,14000.0
0,BRT026c-15-1,ACTIVE_0,14000.0
0,BRT026c-15-1,ACTIVE_1,14000.0
0,BRT026c-15-1,ACTIVE_2,14000.0
0,BRT026c-15-2,ACTIVE_0,14000.0
0,BRT026c-15-2,ACTIVE_1,14000.0
0,BRT026c-15-2,ACTIVE_2,14000.0
0,BRT026c-16-1,ACTIVE_0,14000.0
0,BRT026c-16-1,ACTIVE_1,14000.0
0,BRT026c-16-1,ACTIVE_2,14000.0
0,BRT026c-17-1,ACTIVE_1,14000.0
0,BRT026c-17-1,ACTIVE_2,14000.0
0,BRT026c-17-1,ACTIVE_3,14000.0
0,BRT026c-17-2,ACTIVE_0,14000.0
0,BRT026c-17-2,ACTIVE_1,14000.0
0,BRT026c-17-2,ACTIVE_2,14000.0
0,BRT026c-18-1,ACTIVE_0,14000.0
0,BRT026c-18-1,ACTIVE_1,14000.0
0,BRT026c-18-1,ACTIVE_2,14000.0
0,BRT026c-19-1,ACTIVE_0,14000.0
0,BRT026c-19-1,ACTIVE_1,14000.0
0,BRT026c-19-1,ACTIVE_2,14000.0
0,BRT026c-20-1,ACTIVE_1,14000.0
0,BRT026c-20-1,ACTIVE_2,14000.0
0,BRT026c-20-1,ACTIVE_3,14000.0
0,BRT026c-20-2,ACTIVE_0,14000.0
0,BRT026c-20-2,ACTIVE_1,14000.0
0,BRT026c-20-2,ACTIVE_2,14000.0
0,BRT026c-25-1,ACTIVE_0,14000.0
0,BRT026c-25-1,ACTIVE_1,14000.0
0,BRT026c-25-1,ACTIVE_2,14000.0
0,BRT026c-25-2,ACTIVE_0,14000.0
0,BRT026c-25-2,ACTIVE_1,14000.0
0,BRT026c-25-2,ACTIVE_2,14000.0
0,BRT026c-27-1,ACTIVE_0,14000.0
0,BRT026c-27-1,ACTIVE_1,14000.0
0,BRT026c-27-1,ACTIVE_2,14000.0
0,BRT026c-29-1,ACTIVE_0,14000.0
0,BRT026c-29-1,ACTIVE_1,14000.0
0,BRT026c-29-1,ACTIVE_2,14000.0
0,BRT026c-31-1,ACTIVE_0,14000.0
0,BRT026c-31-1,ACTIVE_1,14000.0
0,BRT026c-31-1,ACTIVE_2,14000.0
0,BRT026c-33-1,ACTIVE_0,14000.0
0,BRT026c-33-1,ACTIVE_1,14000.0
0,BRT026c-33-1,ACTIVE_2,14000.0
0,BRT026c-34-1,ACTIVE_0,14000.0
0,BRT026c-34-1,ACTIVE_1,14000.0
0,BRT026c-34-1,ACTIVE_2,14000.0
0,BRT026c-41-1,ACTIVE_0,14000.0
0,BRT026c-41-1,ACTIVE_1,14000.0
0,BRT026c-41-1,ACTIVE_2,14000.0
0,BRT026c-44-1,ACTIVE_0,14000.0
0,BRT026c-44-1,ACTIVE_1,14000.0
0,BRT026c-44-1,ACTIVE_2,14000.0
0,BRT033b-02-1,ACTIVE_1,11000.0
0,BRT033b-02-1,ACTIVE_2,11000.0
0,BRT033b-03-1,ACTIVE_1,11000.0
0,BRT033b-03-1,ACTIVE_2,11000.0
0,BRT033b-09-1,ACTIVE_1,11000.0
0,BRT033b-09-1,ACTIVE_2,11000.0
0,BRT033b-12-1,ACTIVE_1,11000.0
0,BRT033b-12-1,ACTIVE_2,11000.0
0,BRT033b-12-2,ACTIVE_1,11000.0
0,BRT033b-12-2,ACTIVE_2,11000.0
0,BRT033b-13-1,ACTIVE_1,11000.0
0,BRT033b-13-1,ACTIVE_2,11000.0
0,BRT033b-14-1,ACTIVE_1,11000.0
0,BRT033b-14-1,ACTIVE_2,11000.0
0,BRT033b-15-1,ACTIVE_1,11000.0
0,BRT033b-15-1,ACTIVE_2,11000.0
0,BRT033b-33-1,ACTIVE_1,11000.0
0,BRT033b-33-1,ACTIVE_2,11000.0
0,BRT033b-41-1,ACTIVE_1,11000.0
0,BRT033b-41-1,ACTIVE_2,11000.0
0,BRT033b-45-1,ACTIVE_1,11000.0
0,BRT033b-45-1,ACTIVE_2,11000.0
0,BRT033b-47-1,ACTIVE_1,11000.0
0,BRT033b-47-1,ACTIVE_2,11000.0
0,BRT033b-50-1,ACTIVE_1,11000.0
0,BRT033b-50-1,ACTIVE_2,11000.0
0,BRT033b-50-2,ACTIVE_-1,11000.0
0,BRT033b-50-2,ACTIVE_0,11000.0
0,BRT033b-55-1,ACTIVE_-1,11000.0
0,BRT033b-55-1,ACTIVE_0,11000.0
0,BRT034f-02-1,ACTIVE_0,9500.0
0,BRT034f-02-1,ACTIVE_1,9500.0
0,BRT034f-02-1,ACTIVE_2,9500.0
0,BRT034f-02-1,ACTIVE_3,4000.0
0,BRT034f-07-1,ACTIVE_1,9500.0
0,BRT034f-07-1,ACTIVE_2,9500.0
0,BRT034f-07-1,ACTIVE_3,9500.0
0,BRT034f-07-1,ACTIVE_4,4000.0
0,BRT034f-33-1,ACTIVE_1,9500.0
0,BRT034f-33-1,ACTIVE_2,9500.0
0,BRT034f-33-1,ACTIVE_3,9500.0
0,BRT034f-33-1,ACTIVE_4,4000.0
0,BRT034f-34-1,ACTIVE_1,9500.0
0,BRT034f-34-1,ACTIVE_2,9500.0
0,BRT034f-34-1,ACTIVE_3,9500.0
0,BRT034f-34-1,ACTIVE_4,4000.0
0,BRT036b-01-1,ACTIVE_0,9500.0
0,BRT036b-01-1,ACTIVE_1,9500.0
0,BRT036b-01-1,ACTIVE_2,9500.0
0,BRT036b-06-1,ACTIVE_1,9500.0
0,BRT036b-06-1,ACTIVE_2,9500.0
0,BRT036b-06-1,ACTIVE_3,9500.0
0,BRT036b-07-1,ACTIVE_1,9500.0
0,BRT036b-07-1,ACTIVE_2,9500.0
0,BRT036b-07-1,ACTIVE_3,9500.0
0,BRT036b-07-2,ACTIVE_1,9500.0
0,BRT036b-07-2,ACTIVE_2,9500.0
0,BRT036b-07-2,ACTIVE_3,9500.0
0,BRT036b-10-1,ACTIVE_1,9500.0
0,BRT036b-10-1,ACTIVE_2,9500.0
0,BRT036b-10-1,ACTIVE_3,9500.0
0,BRT036b-11-1,ACTIVE_1,9500.0
0,BRT036b-11-1,ACTIVE_2,9500.0
0,BRT036b-11-1,ACTIVE_3,9500.0
0,BRT036b-12-1,ACTIVE_1,9500.0
0,BRT036b-12-1,ACTIVE_2,9500.0
0,BRT036b-12-1,ACTIVE_3,9500.0
0,BRT036b-20-1,ACTIVE_1,9500.0
0,BRT036b-20-1,ACTIVE_2,9500.0
0,BRT036b-20-1,ACTIVE_3,9500.0
0,BRT036b-21-1,ACTIVE_1,9500.0
0,BRT036b-21-1,ACTIVE_2,9500.0
0,BRT036b-21-1,ACTIVE_3,9500.0
0,BRT036b-25-1,ACTIVE_1,9500.0
0,BRT036b-25-1,ACTIVE_2,9500.0
0,BRT036b-25-1,ACTIVE_3,9500.0
0,BRT036b-28-1,ACTIVE_1,9500.0
0,BRT036b-28-1,ACTIVE_2,9500.0
0,BRT036b-28-1,ACTIVE_3,9500.0
0,BRT036b-29-1,ACTIVE_1,9500.0
0,BRT036b-29-1,ACTIVE_2,9500.0
0,BRT036b-29-1,ACTIVE_3,9500.0
0,BRT036b-31-1,ACTIVE_1,9500.0
0,BRT036b-31-1,ACTIVE_2,9500.0
0,BRT036b-31-1,ACTIVE_3,9500.0
0,BRT036b-36-1,ACTIVE_1,9500.0
0,BRT036b-36-1,ACTIVE_2,9500.0
0,BRT036b-36-1,ACTIVE_3,9500.0
0,BRT036b-38-1,ACTIVE_1,9500.0
0,BRT036b-38-1,ACTIVE_2,9500.0
0,BRT036b-38-1,ACTIVE_3,9500.0
0,BRT036b-40-1,ACTIVE_1,9500.0
0,BRT036b-40-1,ACTIVE_2,9500.0
0,BRT036b-40-1,ACTIVE_3,9500.0
0,BRT036b-40-2,ACTIVE_1,9500.0
0,BRT036b-40-2,ACTIVE_2,9500.0
0,BRT036b-40-2,ACTIVE_3,9500.0
0,BRT036b-45-1,ACTIVE_1,9500.0
0,BRT036b-45-1,ACTIVE_2,9500.0
0,BRT036b-45-1,ACTIVE_3,9500.0
0,BRT036b-46-1,ACTIVE_1,9500.0
0,BRT036b-46-1,ACTIVE_2,9500.0
0,BRT036b-46-1,ACTIVE_3,9500.0
0,BRT036b-46-2,ACTIVE_1,9500.0
0,BRT036b-46-2,ACTIVE_2,9500.0
0,BRT036b-46-2,ACTIVE_3,9500.0
0,BRT037b-01-1,ACTIVE_0,8500.0
0,BRT037b-01-1,ACTIVE_1,8500.0
0,BRT037b-03-1,ACTIVE_1,8500.0
0,BRT037b-03-1,ACTIVE_2,8500.0
0,BRT037b-10-1,ACTIVE_1,8500.0
0,BRT037b-10-1,ACTIVE_2,8500.0
0,BRT037b-13-1,ACTIVE_1,8500.0
0,BRT037b-13-1,ACTIVE_2,8500.0
0,BRT037b-13-2,ACTIVE_0,8500.0
0,BRT037b-13-2,ACTIVE_1,8500.0
0,BRT037b-15-1,ACTIVE_0,8500.0
0,BRT037b-15-1,ACTIVE_1,8500.0
0,BRT037b-24-1,ACTIVE_0,8500.0
0,BRT037b-24-1,ACTIVE_1,8500.0
0,BRT037b-24-2,ACTIVE_0,8500.0
0,BRT037b-24-2,ACTIVE_1,8500.0
0,BRT037b-24-2,ACTIVE_2,8500.0
0,BRT037b-28-1,ACTIVE_0,8500.0
0,BRT037b-28-1,ACTIVE_1,8500.0
