cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,bestsnr,bestbf,PASSIVE_0_snr,PASSIVE_0_bf,PASSIVE_0,ACTIVE_1_snr,ACTIVE_1_bf,ACTIVE_1,ACTIVE_1_tf,ACTIVE_1_tardist,PASSIVE_1_snr,PASSIVE_1_bf,PASSIVE_1,ACTIVE_2_snr,ACTIVE_2_bf,ACTIVE_2,ACTIVE_2_tf,ACTIVE_2_tardist,ACTIVE_3_snr,ACTIVE_3_bf,ACTIVE_3,ACTIVE_3_tf,ACTIVE_3_tardist,ACTIVE_0_snr,ACTIVE_0_bf,ACTIVE_0,ACTIVE_0_tf,ACTIVE_0_tardist,PASSIVE_2_snr,PASSIVE_2_bf,PASSIVE_2,PASSIVE_3_snr,PASSIVE_3_bf,PASSIVE_3,ACTIVE_4_snr,ACTIVE_4_bf,ACTIVE_4,ACTIVE_4_tf,ACTIVE_4_tardist,PASSIVE_4_snr,PASSIVE_4_bf,PASSIVE_4,R2_diff,MIbeh_only,MIbeh_unique,sig_ubeh,sig_upup,sig_state,R2beh_unique,R2pup_unique
BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,2.127982164393296e-05,77.2994,0.8194833293367653,0.008126915145216962,-0.0032827027787803807,0.09199330938013747,active,0.6715529270608693,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,baseline,,77.2994,0.8211943575486019,0.008509434617702918,-0.0007637403900535139,0.9685559000569086,baseline,0.6743601728696611,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,pupil,0.039376434126916084,77.2994,0.8211943575486019,0.008509434617702918,-0.0041324425744354775,0.011102038023946234,pupil,0.6743601728696611,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,active,0.06445016390437454,77.2994,0.8211943575486019,0.008509434617702918,0.6150071726840244,0.7053367845243548,active,0.6743601728696611,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,baseline,,77.2994,0.8313543211344262,0.008880309082006141,2.860346263778877,2.5902738937063035,baseline,0.6911500072688826,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,pupil,0.10760436303443167,77.2994,0.8313543211344262,0.008880309082006141,2.30985471147583,3.983319461712097,pupil,0.6911500072688826,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,active,0.11425044088182225,77.2994,0.8313543211344262,0.008880309082006141,-0.3063103400658517,1.6989552954093239,active,0.6911500072688826,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,baseline,,77.2994,0.8328937481754337,0.008866792459100258,3.5601228807566097,4.629577511913079,baseline,0.6937119957497228,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,pupil,0.10552653701304428,77.2994,0.8328937481754337,0.008866792459100258,2.6160181141891385,4.4189565519165965,pupil,0.6937119957497228,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
BRT026c-17-2,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,active,0.07136233934302037,77.2994,0.8328937481754337,0.008866792459100258,-2.5483073566204704,2.9150234167559304,active,0.6937119957497228,A1,TBD,DS,True,False,BRT,TIN,0.25956999999999997,17041,0.11099,7355,BRT026c09_p_PTD.m,0.25956999999999997,17041.0,BRT026c11_a_PTD.m,14000.0,0.28358,,,,0.061658000000000004,3782.0,BRT026c12_a_PTD.m,14000.0,0.28358,,,,,,0.075653,30899.0,BRT026c08_a_PTD.m,14000.0,0.28358,,,,,,,,,,,,,,,0.022159068688853423,0.0644288840827306,-0.042888101538801876,False,False,False,0.002561988480840105,0.019351822880061653
