,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
19,ley046f-44-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,0.0010501436109908223,85.0,0.2838880368588195,0.0348631152149406,-0.12099655371213584,-0.39836634691818296,pupil
20,ley046f-44-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_ley046f07_p_PTD,-0.0022084862453851445,85.0,0.2838880368588195,0.0348631152149406,0.35589679294114235,0.036947317179438194,PASSIVE_1
21,ley046f-01-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,95.0,0.5635890513794697,0.017933506271854912,0.4462480744065508,1.019733560708841,baseline
22,ley046f-01-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,0.002007159510104567,95.0,0.5635890513794697,0.017933506271854912,0.012703011672507373,0.0780585173421678,pupil
23,ley046f-01-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_ley046f07_p_PTD,-0.00021749888471181636,95.0,0.5635890513794697,0.017933506271854912,-0.04248184152337599,-0.4117813937882171,PASSIVE_1
24,ley034g-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,90.0,0.9509881336638738,0.002055125019196705,0.06557461229811967,0.9986348207805296,baseline
25,ley034g-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,0.0029670828903845137,90.0,0.9509881336638738,0.002055125019196705,-0.02117139237196495,0.001645948075672074,pupil
26,ley034g-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_ley034g04_p_PTD,-9.298263611527142e-05,90.0,0.9509881336638738,0.002055125019196705,-0.01840607603584687,-0.008757162927652783,PASSIVE_1
27,ley034g-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_ley034g07_p_PTD,9.60424535268558e-05,90.0,0.9509881336638738,0.002055125019196705,-0.020505677084073616,0.06175768773599307,PASSIVE_2
28,ley041l-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,99.0,0.6624822019019326,0.01462915366386347,0.37614828700272956,0.9740218775372297,baseline
29,ley041l-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,3.1784946251098825e-05,99.0,0.6624822019019326,0.01462915366386347,-0.01051883414886378,-0.01821113529272783,pupil
30,ley041l-a1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_ley041l06_p_PTD,0.00010954071273856387,99.0,0.6624822019019326,0.01462915366386347,-0.0019764724374246256,0.11722429816801225,PASSIVE_1
