Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Leyva,ley018h03_a_PTD.m,0.59,0.59,0.05,37,37,39,0.69,0.69,0.46,A Pure Tone,0.227544977,0.227544977,-1.644853627,1.872398604,1.872398604,0.708654325
Leyva,ley024d04_a_PTD.m,0.98,0.98,0.14,30,30,37,0.93,0.93,0.26,A Pure Tone,2.053748911,2.053748911,-1.080319341,3.134068251,3.134068251,-0.486714785
Leyva,ley025c07_a_PTD.m,0.75,0.75,0.15,24,24,26,0.82,0.82,0.6,A Pure Tone,0.67448975,0.67448975,-1.036433389,1.71092314,1.71092314,0.18097182
Leyva,ley025c08_a_PTD.m,0.98,0.98,0.17,30,30,40,0.92,0.92,0.31,A Pure Tone,2.053748911,2.053748911,-0.954165253,3.007914164,3.007914164,-0.549791829
Leyva,ley025c10_a_PTD.m,0.91,0.91,0.17,33,33,46,0.84,0.84,0.48,A Pure Tone,1.340755034,1.340755034,-0.954165253,2.294920287,2.294920287,-0.19329489
Leyva,ley025f04_a_PTD.m,0.98,0.98,0.25,30,30,51,0.95,0.95,0.22,A Pure Tone,2.053748911,2.053748911,-0.67448975,2.728238661,2.728238661,-0.68962958
Leyva,ley025f06_a_PTD.m,0.94,0.94,0.07,32,32,41,0.93,0.93,0.29,A Pure Tone,1.554773595,1.554773595,-1.475791028,3.030564623,3.030564623,-0.039491283
Leyva,ley026g03_a_PTD.m,0.98,0.98,0.21,30,30,43,0.92,0.92,0.32,A Pure Tone,2.053748911,2.053748911,-0.806421247,2.860170158,2.860170158,-0.623663832
Leyva,ley026g05_a_PTD.m,0.81,0.81,0.17,37,37,54,0.81,0.81,0.37,A Pure Tone,0.877896295,0.877896295,-0.954165253,1.832061548,1.832061548,0.038134479
Leyva,ley027f05_a_PTD.m,0.98,0.98,0.29,30,30,55,0.9,0.9,0.26,A Pure Tone,2.053748911,2.053748911,-0.55338472,2.60713363,2.60713363,-0.750182096
Leyva,ley027f07_a_PTD.m,0.91,0.91,0.22,33,33,51,0.84,0.84,0.39,A Pure Tone,1.340755034,1.340755034,-0.772193214,2.112948248,2.112948248,-0.28428091
Leyva,ley027g05_a_PTD.m,0.91,0.91,0.13,33,33,39,0.91,0.91,0.34,A Pure Tone,1.340755034,1.340755034,-1.126391129,2.467146163,2.467146163,-0.107181952
Leyva,ley027g07_a_PTD.m,0.91,0.91,0.11,33,33,44,0.9,0.9,0.37,A Pure Tone,1.340755034,1.340755034,-1.22652812,2.567283154,2.567283154,-0.057113457
Leyva,ley031e05_a_PTD.m,0.94,0.94,0.06,32,32,35,0.9,0.9,0.36,A Pure Tone,1.554773595,1.554773595,-1.554773595,3.109547189,3.109547189,1.11E-16
Leyva,ley031e07_a_PTD.m,0.98,0.98,0.09,30,30,34,0.99,0.99,0.44,A Pure Tone,2.053748911,2.053748911,-1.340755034,3.394503944,3.394503944,-0.356496938
Leyva,ley033h03_a_PTD.m,0.98,0.98,0.28,30,30,50,0.91,0.91,0.25,A Pure Tone,2.053748911,2.053748911,-0.582841507,2.636590418,2.636590418,-0.735453702
Leyva,ley033h06_a_PTD.m,0.97,0.97,0.35,31,31,66,0.84,0.84,0.38,A Pure Tone,1.880793608,1.880793608,-0.385320466,2.266114075,2.266114075,-0.747736571
Leyva,ley034g03_a_PTD.m,0.98,0.98,0.26,30,30,46,0.91,0.91,0.25,A Pure Tone,2.053748911,2.053748911,-0.643345405,2.697094316,2.697094316,-0.705201753
Leyva,ley034g06_a_PTD.m,0.98,0.98,0.38,30,30,66,0.8,0.8,0.3,A Pure Tone,2.053748911,2.053748911,-0.305480788,2.359229699,2.359229699,-0.874134061
Leyva,ley034i03_a_PTD.m,0.98,0.98,0.3,30,30,53,0.95,0.95,0.22,A Pure Tone,2.053748911,2.053748911,-0.524400513,2.578149423,2.578149423,-0.764674199
Leyva,ley035c06_a_PTD.m,0.91,0.91,0.08,33,33,37,0.9,0.9,0.33,A Pure Tone,1.340755034,1.340755034,-1.40507156,2.745826594,2.745826594,0.032158263
Leyva,ley039f07_a_PTD.m,0.94,0.94,0.53,9,9,15,0.83,0.83,0.27,A Pure Tone,1.554773595,1.554773595,0.075269862,1.479503732,1.479503732,-0.815021728
Leyva,ley040j04_a_PTD.m,0.94,0.94,0.14,32,32,37,0.92,0.92,0.33,A Pure Tone,1.554773595,1.554773595,-1.080319341,2.635092935,2.635092935,-0.237227127
Leyva,ley040j06_a_PTD.m,0.97,0.97,0.13,31,31,39,0.92,0.92,0.3,A Pure Tone,1.880793608,1.880793608,-1.126391129,3.007184737,3.007184737,-0.37720124
Leyva,ley040k04_a_PTD.m,0.94,0.94,0.09,32,32,43,0.94,0.94,0.33,A Pure Tone,1.554773595,1.554773595,-1.340755034,2.895528628,2.895528628,-0.10700928
Leyva,ley040k06_a_PTD.m,0.98,0.98,0.08,30,30,36,0.96,0.96,0.38,A Pure Tone,2.053748911,2.053748911,-1.40507156,3.458820471,3.458820471,-0.324338675
Leyva,ley041f04_a_PTD.m,0.94,0.94,0.53,8,8,19,0.74,0.74,0.23,A Pure Tone,1.554773595,1.554773595,0.075269862,1.479503732,1.479503732,-0.815021728
Leyva,ley041k05_a_PTD.m,0.98,0.98,0.34,30,30,67,0.91,0.91,0.25,A Pure Tone,2.053748911,2.053748911,-0.412463129,2.46621204,2.46621204,-0.820642891
Leyva,ley041l05_a_PTD.m,0.98,0.98,0.21,30,30,43,0.89,0.89,0.22,A Pure Tone,2.053748911,2.053748911,-0.806421247,2.860170158,2.860170158,-0.623663832
Leyva,ley041l10_a_PTD.m,0.54,0.54,0.3,13,13,20,0.61,0.61,0.24,A Pure Tone,0.100433721,0.100433721,-0.524400513,0.624834233,0.624834233,0.211983396
Leyva,ley042f04_a_PTD.m,0.97,0.97,0.33,15,15,21,0.94,0.94,0.23,A Pure Tone,1.880793608,1.880793608,-0.439913166,2.320706774,2.320706774,-0.720440221
Leyva,ley042g04_a_PTD.m,0.98,0.98,0.29,30,30,45,0.8,0.8,0.25,A Pure Tone,2.053748911,2.053748911,-0.55338472,2.60713363,2.60713363,-0.750182096
Leyva,ley042i04_a_PTD.m,0.98,0.98,0.16,30,30,37,0.97,0.97,0.21,A Pure Tone,2.053748911,2.053748911,-0.994457883,3.048206794,3.048206794,-0.529645514
Leyva,ley042i06_a_PTD.m,0.98,0.98,0.11,30,30,36,0.95,0.95,0.25,A Pure Tone,2.053748911,2.053748911,-1.22652812,3.280277031,3.280277031,-0.413610395
Leyva,ley043g04_a_PTD.m,0.98,0.98,0.15,30,30,40,0.99,0.99,0.31,A Pure Tone,2.053748911,2.053748911,-1.036433389,3.0901823,3.0901823,-0.508657761
Leyva,ley043h04_a_PTD.m,0.98,0.98,0.2,30,30,40,0.92,0.92,0.27,A Pure Tone,2.053748911,2.053748911,-0.841621234,2.895370144,2.895370144,-0.606063839
Leyva,ley043h06_a_PTD.m,0.98,0.98,0.09,30,30,34,0.94,0.94,0.27,A Pure Tone,2.053748911,2.053748911,-1.340755034,3.394503944,3.394503944,-0.356496938
Leyva,ley045h03_a_PTD.m,0.98,0.98,0.06,30,30,33,0.99,0.99,0.24,A Pure Tone,2.053748911,2.053748911,-1.554773595,3.608522505,3.608522505,-0.249487658
