,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
27,mgc055a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.0008053039399185157,0.4372772447910897,0.028011323022405474,0.010849126114416805,-0.058170379290842913,PASSIVE_1
28,mgc052e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9229496026295474,0.012134488462060115,1.5479862235361075,1.007689891579523,baseline
29,mgc052e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.012118619875900773,0.9229496026295474,0.012134488462060115,0.008379537968939152,-0.011815897398767075,PASSIVE_1
30,mgc050b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8967190517147301,0.006980434206595829,0.8720467170365254,1.003251989369134,baseline
31,mgc050b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.00018045073714719823,0.8967190517147301,0.006980434206595829,-0.0033728815759684902,-0.005084321035133696,ACTIVE_1
32,mgc049e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8527705551389714,0.00548533515135192,0.17318324983960584,0.981842010643381,baseline
33,mgc049e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0010915605431029956,0.8527705551389714,0.00548533515135192,-0.016123294494490445,0.030635287585594168,ACTIVE_1
34,mgc038a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.48308110275441196,0.027364763025234697,1.5402381917339978,1.0541313972612616,baseline
35,mgc038a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.00015883077837190311,0.48308110275441196,0.027364763025234697,-0.051275906944492876,-0.09145047122121165,ACTIVE_0
36,mgc037b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9109009213812088,0.00422324803811614,0.28859164280477345,0.9954125440963887,baseline
37,mgc037b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,2.886987053278477e-05,0.9109009213812088,0.00422324803811614,0.0047538520594534745,0.007736358513056156,PASSIVE_1
38,mgc031d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.43656583207051786,0.034567235517227284,2.261871429894942,1.0210059575386503,baseline
39,mgc031d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.014095074370968071,0.43656583207051786,0.034567235517227284,0.007483492430031814,-0.03423682305948171,ACTIVE_1
40,mgc028b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8772718063104845,0.011507974965384605,0.9910380111159572,0.9943781119593504,baseline
41,mgc028b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,-0.0002498653280540141,0.8772718063104845,0.011507974965384605,0.011311048150144274,0.009244101917771277,ACTIVE_0
42,mgc016e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8478292996839876,0.014654742095814058,1.7153000753555585,1.009956541047633,baseline
43,mgc016e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.005406393595405149,0.8478292996839876,0.014654742095814058,-0.010570354039289619,-0.017988678763184305,PASSIVE_1
44,mgc016d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.44794738075985474,0.022291498743396764,2.198735230175527,0.9477912666970149,baseline
45,mgc016d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.000290855554923697,0.44794738075985474,0.022291498743396764,0.010152906912089565,0.0828022055405261,ACTIVE_1
46,mgc015a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8569893226628105,0.007282755991244215,0.22605738036707743,0.9950147118219667,baseline
47,mgc015a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,5.715287666259637e-05,0.8569893226628105,0.007282755991244215,-0.0031248929121232166,0.008226236678012292,ACTIVE_1
48,mgc013a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.617262379161317,0.012780828488501449,1.123181994939886,0.9764772971183419,baseline
49,mgc013a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-9.898117967703133e-05,0.617262379161317,0.012780828488501449,0.01570210680147647,0.03589332295379659,PASSIVE_1
