,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
29,mgc050b-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00018045073714719823,0.8967190517147301,0.006980434206595829,-0.0033728815759684902,-0.005084321035133696,active
30,mgc049e-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.8527705551389715,0.00548533515135192,0.17318324983960584,0.981842010643381,baseline
31,mgc049e-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0010915605431029956,0.8527705551389715,0.00548533515135192,-0.016123294494490445,0.030635287585594168,active
32,mgc038a-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.48308110275441196,0.027364763025234697,1.5402381917339978,1.0541313972612616,baseline
33,mgc038a-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0001588307783719031,0.48308110275441196,0.027364763025234697,-0.051275906944492876,-0.09145047122121165,active
34,mgc037b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.910900921351162,0.004223248075523626,0.2885916413419974,0.9954125437397254,baseline
35,mgc037b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,2.8869941319436e-05,0.910900921351162,0.004223248075523626,0.004753855478827314,0.007736356958991724,active
36,mgc031d-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.4365658315897817,0.034567235919053634,2.2618714353010785,1.0210058906723813,baseline
37,mgc031d-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.014095074740623024,0.4365658315897817,0.034567235919053634,0.007483479335493257,-0.03423675032474246,active
38,mgc028b-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.8772718063104845,0.011507974965384605,0.9910380111159572,0.9943781119593504,baseline
