,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
20,ley046f-22-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.005501859046044901,95.0,0.34257289487866854,0.03366488327747621,0.3734541974354182,1.7885887323211436,ACTIVE_1
21,ley046f-22-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,0.0005352195009301046,95.0,0.34257289487866854,0.03366488327747621,0.47000129530965495,1.5560670031622963,PASSIVE_1
22,ley046f-13-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,85.0,0.31514511784837995,0.02495477353785748,0.04204795034552725,1.023567526600734,baseline
23,ley046f-13-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,0.0010660853913526695,85.0,0.31514511784837995,0.02495477353785748,-0.036978430037218804,-0.058035239444804786,pupil
24,ley046f-13-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.003027548954868009,85.0,0.31514511784837995,0.02495477353785748,-0.24722362980177698,-0.637533373650595,ACTIVE_1
25,ley046f-13-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-9.003046715730008e-05,85.0,0.31514511784837995,0.02495477353785748,-0.1910318343542785,-0.15081254081227288,PASSIVE_1
26,ley046f-03-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,85.0,0.45133174146773636,0.017319860110638567,0.017099120164316983,1.0226394726522885,baseline
27,ley046f-03-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.0004996330883035684,85.0,0.45133174146773636,0.017319860110638567,-0.018908670719657256,0.13833134924693408,pupil
28,ley046f-03-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.0003566343101899102,85.0,0.45133174146773636,0.017319860110638567,0.022465282958032406,-0.2158828427460421,ACTIVE_1
29,ley046f-03-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.00016484212510111445,85.0,0.45133174146773636,0.017319860110638567,-0.0946565053391765,0.4920376855713,PASSIVE_1
30,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,95.0,0.8292809176300017,0.009127634911611048,0.32793549329012206,1.1964904377293117,baseline
31,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.0010665494015725345,95.0,0.8292809176300017,0.009127634911611048,0.004705060019912622,-0.01875489415468517,pupil
32,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.0014444202318988869,95.0,0.8292809176300017,0.009127634911611048,0.12808591650828396,-0.04424103098503651,ACTIVE_1
33,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.0005498154364000303,95.0,0.8292809176300017,0.009127634911611048,-0.025785934967704743,-0.012804161537708867,PASSIVE_1
34,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.0006013589359299738,95.0,0.8292809176300017,0.009127634911611048,0.02089159263937223,0.0833519786529153,ACTIVE_2
35,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_3,-0.0006115655069480748,95.0,0.8292809176300017,0.009127634911611048,0.007185530897323586,-0.06092977155336077,ACTIVE_3
36,BRT017g-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,-0.0005422827493979564,95.0,0.8292809176300017,0.009127634911611048,0.015089279209245698,-0.06751947334546923,PASSIVE_2
