-150,-60,0,-2.7063,-2.2585
-150,-60,156.25,-2.4524,-1.9621
-150,-60,312.5,-2.1475,-1.746
-150,-60,468.75,-1.9041,-1.7473
-150,-60,625,-1.7967,-2.0613
-150,-60,781.25,-1.7707,-2.671
-150,-60,937.5,-1.6987,-3.4487
-150,-60,1093.8,-1.5198,-4.2363
-150,-60,1250,-1.2616,-4.9826
-150,-60,1406.2,-1.0259,-5.7468
-150,-60,1562.5,-0.90549,-6.4873
-150,-60,1718.8,-0.95613,-7.4102
-150,-60,1875,-1.1249,-8.442
-150,-60,2031.2,-1.2899,-9.5207
-150,-60,2187.5,-1.3164,-10.419
-150,-60,2343.8,-1.15,-10.927
-150,-60,2500,-0.857,-10.91
-150,-60,2656.2,-0.56529,-10.437
-150,-60,2812.5,-0.40134,-9.6482
-150,-60,2968.8,-0.42019,-8.8358
-150,-60,3125,-0.56978,-8.0736
-150,-60,3281.2,-0.77062,-7.5921
-150,-60,3437.5,-0.95846,-7.3254
-150,-60,3593.8,-1.1435,-7.2998
-150,-60,3750,-1.351,-7.4859
-150,-60,3906.2,-1.5804,-7.7826
-150,-60,4062.5,-1.8505,-8.0463
-150,-60,4218.8,-2.1404,-8.2329
-150,-60,4375,-2.3922,-8.2749
-150,-60,4531.2,-2.5954,-8.2303
-150,-60,4687.5,-2.7566,-8.1748
-150,-60,4843.8,-2.8782,-8.1586
-150,-60,5000,-2.9812,-8.1778
-150,-60,5156.2,-3.1437,-8.2833
-150,-60,5312.5,-3.3853,-8.4042
-150,-60,5468.8,-3.6683,-8.62
-150,-60,5625,-3.9778,-8.9539
-150,-60,5781.2,-4.2328,-9.3969
-150,-60,5937.5,-4.363,-9.8468
-150,-60,6093.8,-4.4243,-10.181
-150,-60,6250,-4.4583,-10.293
-150,-60,6406.2,-4.5308,-10.193
-150,-60,6562.5,-4.6508,-9.9545
-150,-60,6718.8,-4.8366,-9.8108
-150,-60,6875,-5.0626,-9.8447
-150,-60,7031.2,-5.2937,-10.149
-150,-60,7187.5,-5.5165,-10.597
-150,-60,7343.8,-5.7352,-11.044
-150,-60,7500,-5.9184,-11.414
-150,-60,7656.2,-6.0777,-11.713
-150,-60,7812.5,-6.2027,-12.006
-150,-60,7968.8,-6.2991,-12.378
-150,-60,8125,-6.3611,-12.83
-150,-60,8281.2,-6.3921,-13.274
-150,-60,8437.5,-6.4276,-13.688
-150,-60,8593.8,-6.4619,-14.045
-150,-60,8750,-6.4832,-14.319
-150,-60,8906.2,-6.5039,-14.584
-150,-60,9062.5,-6.5293,-14.806
-150,-60,9218.8,-6.5551,-14.94
-150,-60,9375,-6.6262,-15.011
-150,-60,9531.2,-6.7228,-15.025
-150,-60,9687.5,-6.8077,-15.024
-150,-60,9843.8,-6.8905,-15.008
-150,-60,10000,-6.9505,-14.988
-150,-60,10156,-6.98,-14.903
-150,-60,10312,-7.0186,-14.743
-150,-60,10469,-7.0658,-14.5
-150,-60,10625,-7.1001,-14.175
-150,-60,10781,-7.1331,-13.828
-150,-60,10938,-7.1688,-13.497
-150,-60,11094,-7.1829,-13.132
-150,-60,11250,-7.1599,-12.795
-150,-60,11406,-7.116,-12.411
-150,-60,11562,-7.0469,-11.919
-150,-60,11719,-6.9436,-11.32
-150,-60,11875,-6.8758,-10.729
-150,-60,12031,-6.8737,-10.139
-150,-60,12188,-6.8727,-9.6009
-150,-60,12344,-6.8319,-9.2219
-150,-60,12500,-6.7392,-8.8673
-150,-60,12656,-6.5681,-8.4847
-150,-60,12812,-6.3405,-8.1408
-150,-60,12969,-6.1346,-7.8537
-150,-60,13125,-6.018,-7.6393
-150,-60,13281,-5.9288,-7.5387
-150,-60,13438,-5.8631,-7.5297
-150,-60,13594,-5.8877,-7.5531
-150,-60,13750,-5.959,-7.5907
-150,-60,13906,-5.9892,-7.7806
-150,-60,14062,-5.9682,-7.9413
-150,-60,14219,-5.8948,-8.0294
-150,-60,14375,-5.6889,-8.0997
-150,-60,14531,-5.4169,-8.122
-150,-60,14688,-5.2342,-8.1372
-150,-60,14844,-5.1448,-8.2563
-150,-60,15000,-5.1055,-8.5554
-150,-60,15156,-5.1493,-8.9725
-150,-60,15312,-5.276,-9.4592
-150,-60,15469,-5.4292,-9.9977
-150,-60,15625,-5.5484,-10.498
-150,-60,15781,-5.6517,-10.855
-150,-60,15938,-5.6974,-11.065
-150,-60,16094,-5.6525,-11.164
-150,-60,16250,-5.6412,-11.196
-150,-60,16406,-5.7284,-11.272
-150,-60,16562,-5.9077,-11.51
-150,-60,16719,-6.1221,-11.829
-150,-60,16875,-6.3448,-12.199
-150,-60,17031,-6.5389,-12.554
-150,-60,17188,-6.6693,-12.811
-150,-60,17344,-6.7541,-13.021
-150,-60,17500,-6.8274,-13.146
-150,-60,17656,-6.8482,-13.243
-150,-60,17812,-6.8106,-13.335
-150,-60,17969,-6.7689,-13.425
-150,-60,18125,-6.7623,-13.586
-150,-60,18281,-6.7553,-13.785
-150,-60,18438,-6.8127,-13.952
-150,-60,18594,-6.918,-14.113
-150,-60,18750,-7.0669,-14.283
-150,-60,18906,-7.2508,-14.513
-150,-60,19062,-7.4713,-14.791
-150,-60,19219,-7.6818,-15.116
-150,-60,19375,-7.8613,-15.431
-150,-60,19531,-8.0266,-15.609
-150,-60,19688,-8.1553,-15.673
-150,-60,19844,-8.1893,-15.71
-150,-60,20000,-8.1799,-15.746
-140,-60,0,-3.0988,-3.1228
-140,-60,156.25,-2.5561,-2.3544
-140,-60,312.5,-1.9491,-1.7946
-140,-60,468.75,-1.4503,-1.6233
